:ID,:LABEL,statement_id,full_name,first_name,last_name,age,date_of_birth,gender,occupation,employer,phone,alt_phone,email,residential_address,city,state,zip_code,statement_date,statement_id_ref,claim_id,incident_state,distance_from_scene_ft,relationship_to_claimant,deposition_ready,willing_to_testify,reliability_score,reliability_note,prior_testimony_count,prior_testimony_flag,criminal_record_flag,statement_recorded,statement_notarized,cross_claim_appearance_count,contacted_by_attorney,credibility_flag,same_name_claims_count,professional_witness_flag,same_phone_claims_count,same_address_claims_count,compensation_received_flag,coached_statement_flag
WS-429027-W1,Witness,WS-429027-W1,Daniel Collins,Daniel,Collins,25,5/16/1990,Male,Retired Police Officer Walking Their Dog,Self-Employed,(455) 919-5531,(954) 379-3925,daniel.collins@outlook.com,"1087 Pine Blvd, Norfolk, VA",Norfolk,VA,71857,2/27/2015,WS-429027-W1,CLM-429027,VA,275,Stranger/Bystander,Yes,Unknown,50,Corroborated by dashcam,1,No,No,Audio,No,1,No,MEDIUM,3,Yes,1,1,Yes,No
WS-429027-W2,Witness,WS-429027-W2,Robert Adams,Robert,Adams,23,2/22/1992,Female,School Bus Driver,Retired,(251) 964-8837,(500) 731-9980,robert.adams@yahoo.com,"8600 Pine Dr, Roanoke, VA",Roanoke,VA,93826,2/27/2015,WS-429027-W2,CLM-429027,VA,261,Stranger/Bystander,Yes,Unknown,79,Corroborated by dashcam,5,Yes,No,,No,1,No,HIGH,3,Yes,1,1,No,No
WS-485665-W1,Witness,WS-485665-W1,Paul Nelson,Paul,Nelson,20,6/12/1995,Female,Delivery Driver,Retired,(987) 887-7561,(507) 386-9887,paul.nelson@gmail.com,"4185 Oak Dr, Huntington, WV",Huntington,WV,44211,1/30/2015,WS-485665-W1,CLM-485665,WV,172,Friend of Claimant,No,Yes,67,Inconsistency in timeline,2,No,No,Written,No,1,Yes,MEDIUM,7,Yes,1,1,No,No
WS-636550-W1,Witness,WS-636550-W1,Steven Hall,Steven,Hall,32,6/21/1983,Female,Rideshare Driver,City of Raleigh,(359) 300-4883,,steven.hall@outlook.com,"6480 Main Ave, Raleigh, NC",Raleigh,NC,46747,1/5/2015,WS-636550-W1,CLM-636550,NC,480,Neighbor,No,Unknown,55,No prior testimony history,0,No,No,Written,Yes,1,Yes,MEDIUM,5,Yes,1,3,No,No
WS-543610-W1,Witness,WS-543610-W1,Amanda Green,Amanda,Green,31,2/25/1984,Female,Nearby Shop Owner,Retired,(900) 865-8995,(818) 640-1464,amanda.green@yahoo.com,"8105 Pine Dr, Albany, NY",Albany,NY,58858,1/6/2015,WS-543610-W1,CLM-543610,NY,235,Passerby,Yes,Yes,48,Inconsistency in timeline,0,No,No,Written,No,1,No,LOW,2,No,2,1,No,No
WS-543610-W2,Witness,WS-543610-W2,Mark Turner,Mark,Turner,36,11/17/1979,Male,Pedestrian,Unemployed,(505) 276-8043,,mark.turner@yahoo.com,"9071 Maple Blvd, New York, NY",New York,NY,44215,1/6/2015,WS-543610-W2,CLM-543610,NY,104,Stranger/Bystander,Yes,Yes,56,Corroborated by dashcam,4,Yes,No,Video,Yes,1,No,MEDIUM,5,Yes,1,1,No,Yes
WS-214618-W1,Witness,WS-214618-W1,Susan Smith,Susan,Smith,48,4/21/1967,Female,Dog Walker,Unemployed,(309) 671-1421,,susan.smith@gmail.com,"1478 Cedar Dr, Charleston, SC",Charleston,SC,44939,2/15/2015,WS-214618-W1,CLM-214618,SC,145,Unknown,Yes,Unknown,86,Consistent with physical evidence,4,Yes,No,Written,No,1,No,HIGH,3,Yes,1,1,No,Yes
WS-214618-W2,Witness,WS-214618-W2,Steven Young,Steven,Young,39,10/21/1976,Male,Retired Police Officer Walking Their Dog,Unemployed,(689) 616-4927,(248) 534-2579,steven.young@yahoo.com,"2178 Pine St, Charleston, SC",Charleston,SC,46471,2/15/2015,WS-214618-W2,CLM-214618,SC,417,Neighbor,Yes,Yes,58,Inconsistency in timeline,1,No,No,Audio,Yes,1,No,MEDIUM,5,Yes,1,1,No,No
WS-626808-W1,Witness,WS-626808-W1,Laura Parker,Laura,Parker,26,6/24/1989,Female,Pedestrian,Unemployed,(817) 986-4367,,laura.parker@yahoo.com,"7115 Cedar Dr, Columbia, SC",Columbia,SC,63986,1/8/2015,WS-626808-W1,CLM-626808,SC,199,Stranger/Bystander,Yes,Unknown,55,Prior testimony flagged,3,Yes,No,Written,Yes,1,No,MEDIUM,4,Yes,1,1,No,Yes
WS-644081-W1,Witness,WS-644081-W1,Ryan Young,Ryan,Young,35,8/19/1980,Female,School Bus Driver,City of Greenville,(257) 338-2145,,ryan.young@outlook.com,"2886 Oak Ave, Greenville, SC",Greenville,SC,98656,1/15/2015,WS-644081-W1,CLM-644081,SC,211,Passerby,Yes,Yes,93,Prior testimony flagged,2,No,No,Written,Yes,1,No,HIGH,3,Yes,1,1,No,No
WS-644081-W2,Witness,WS-644081-W2,Linda Collins,Linda,Collins,31,11/19/1984,Male,Nearby Shop Owner,City of Charleston,(986) 321-7230,(218) 499-1483,linda.collins@outlook.com,"196 Oak St, Charleston, SC",Charleston,SC,62981,1/15/2015,WS-644081-W2,CLM-644081,SC,144,Neighbor,No,Yes,78,Consistent with physical evidence,4,Yes,No,Written,Yes,1,No,HIGH,3,Yes,1,1,No,Yes
WS-558938-W1,Witness,WS-558938-W1,Eric Nelson,Eric,Nelson,55,4/8/1960,Female,Mail Carrier,County Government,(849) 246-5324,,eric.nelson@outlook.com,"4480 Pine Ave, New York, NY",New York,NY,39284,2/22/2015,WS-558938-W1,CLM-558938,NY,395,Unknown,No,Yes,70,Inconsistency in timeline,5,Yes,No,Video,No,1,Yes,MEDIUM,4,Yes,1,1,Yes,No
WS-558938-W2,Witness,WS-558938-W2,Steven Young,Steven,Young,29,8/21/1986,Female,Retired Police Officer Walking Their Dog,County Government,(828) 902-8783,(829) 663-2215,steven.young@gmail.com,"7105 Pine Blvd, Buffalo, NY",Buffalo,NY,45297,2/22/2015,WS-558938-W2,CLM-558938,NY,127,Unknown,Yes,No,57,Statement matches police report,0,No,No,Written,No,1,No,MEDIUM,5,Yes,1,1,Yes,No
WS-275265-W1,Witness,WS-275265-W1,Melissa Lee,Melissa,Lee,51,4/13/1964,Male,Jogger,City of Morgantown,(400) 438-7868,,melissa.lee@yahoo.com,"8617 Maple Dr, Morgantown, WV",Morgantown,WV,90508,1/6/2015,WS-275265-W1,CLM-275265,WV,429,Stranger/Bystander,No,No,61,Corroborated by dashcam,3,Yes,No,Written,No,1,No,MEDIUM,4,Yes,1,1,Yes,No
WS-275265-W2,Witness,WS-275265-W2,Amanda Parker,Amanda,Parker,59,2/20/1956,Male,Pedestrian,County Government,(696) 658-5178,,amanda.parker@yahoo.com,"1641 Oak Ave, Morgantown, WV",Morgantown,WV,80916,1/6/2015,WS-275265-W2,CLM-275265,WV,246,Stranger/Bystander,Unknown,Yes,43,Inconsistency in timeline,3,Yes,No,Audio,No,1,Yes,LOW,4,Yes,1,1,No,No
WS-431876-W1,Witness,WS-431876-W1,Karen Ramirez,Karen,Ramirez,59,4/19/1956,Male,College Student Waiting For The Bus,City of Charleston,(551) 607-4013,,karen.ramirez@gmail.com,"2643 Pine Dr, Charleston, SC",Charleston,SC,26777,2/10/2015,WS-431876-W1,CLM-431876,SC,65,Stranger/Bystander,Yes,Yes,48,Corroborated by dashcam,4,Yes,No,Written,No,1,No,LOW,3,Yes,1,1,No,No
WS-431876-W2,Witness,WS-431876-W2,Steven Wright,Steven,Wright,46,1/22/1969,Female,School Bus Driver,Unemployed,(582) 924-3921,,steven.wright@outlook.com,"4346 Cedar St, Greenville, SC",Greenville,SC,61317,2/10/2015,WS-431876-W2,CLM-431876,SC,74,Unknown,No,Yes,66,No prior testimony history,3,Yes,No,Written,No,1,No,MEDIUM,2,No,1,1,No,No
WS-115399-W1,Witness,WS-115399-W1,Melissa Nelson,Melissa,Nelson,23,12/13/1992,Male,Delivery Driver,Unemployed,(813) 553-2384,(572) 722-3369,melissa.nelson@outlook.com,"3203 Cedar Dr, Huntington, WV",Huntington,WV,30032,1/19/2015,WS-115399-W1,CLM-115399,WV,348,Stranger/Bystander,No,Yes,84,Prior testimony flagged,2,No,No,,No,1,Yes,HIGH,5,Yes,1,1,Yes,No
WS-115399-W2,Witness,WS-115399-W2,Daniel Clark,Daniel,Clark,32,10/25/1983,Male,Construction Worker,Unemployed,(412) 894-7603,(449) 331-7107,daniel.clark@yahoo.com,"1599 Maple St, Charleston, WV",Charleston,WV,10395,1/19/2015,WS-115399-W2,CLM-115399,WV,113,Stranger/Bystander,Unknown,No,48,Corroborated by dashcam,2,No,No,Written,No,1,Yes,LOW,3,Yes,1,1,Yes,Yes
WS-736882-W1,Witness,WS-736882-W1,Thomas Hill,Thomas,Hill,21,2/2/1994,Female,Dog Walker,Unemployed,(523) 924-9661,,thomas.hill@outlook.com,"2689 Pine St, Roanoke, VA",Roanoke,VA,55158,2/24/2015,WS-736882-W1,CLM-736882,VA,91,Neighbor,No,Yes,43,Statement matches police report,4,Yes,No,Written,Yes,1,Yes,LOW,3,Yes,1,1,No,No
WS-736882-W2,Witness,WS-736882-W2,Eric Evans,Eric,Evans,63,10/27/1952,Female,Jogger,County Government,(903) 649-6028,(511) 505-1123,eric.evans@gmail.com,"3391 Oak Ave, Roanoke, VA",Roanoke,VA,86700,2/24/2015,WS-736882-W2,CLM-736882,VA,301,Neighbor,No,Unknown,93,Inconsistency in timeline,0,No,No,Written,Yes,1,No,HIGH,6,Yes,1,1,Yes,No
WS-736882-W3,Witness,WS-736882-W3,Ashley Young,Ashley,Young,44,6/1/1971,Male,College Student Waiting For The Bus,Unemployed,(454) 865-8538,(766) 250-1794,ashley.young@gmail.com,"7687 Cedar Ave, Roanoke, VA",Roanoke,VA,94556,2/24/2015,WS-736882-W3,CLM-736882,VA,298,Neighbor,Yes,Yes,40,Statement matches police report,1,No,No,Written,No,1,Yes,LOW,2,No,1,1,No,No
WS-699044-W1,Witness,WS-699044-W1,Melissa Evans,Melissa,Evans,67,4/16/1948,Male,Delivery Driver,Private Company,(743) 948-2965,,melissa.evans@gmail.com,"6177 Oak Dr, Columbus, OH",Columbus,OH,10232,1/9/2015,WS-699044-W1,CLM-699044,OH,14,Stranger/Bystander,Unknown,No,64,Inconsistency in timeline,1,No,No,Written,No,1,No,MEDIUM,3,Yes,1,1,No,Yes
WS-699044-W2,Witness,WS-699044-W2,Mark Clark,Mark,Clark,54,12/4/1961,Male,Mail Carrier,Unemployed,(870) 345-1987,,mark.clark@yahoo.com,"5946 Pine Dr, Columbus, OH",Columbus,OH,60989,1/9/2015,WS-699044-W2,CLM-699044,OH,498,Stranger/Bystander,No,No,100,Statement matches police report,2,No,No,Written,No,1,Yes,HIGH,4,Yes,5,1,Yes,No
WS-699044-W3,Witness,WS-699044-W3,Christopher Baker,Christopher,Baker,57,12/14/1958,Male,Jogger,County Government,(346) 766-8754,(847) 445-1526,christopher.baker@outlook.com,"448 Oak Dr, Cincinnati, OH",Cincinnati,OH,70222,1/9/2015,WS-699044-W3,CLM-699044,OH,161,Friend of Claimant,Yes,Unknown,57,Corroborated by dashcam,3,Yes,No,Written,No,1,Yes,MEDIUM,3,Yes,1,1,No,Yes
WS-863236-W1,Witness,WS-863236-W1,Thomas Scott,Thomas,Scott,24,8/9/1991,Male,Real Estate Agent Who Had Just Parked,City of Philadelphia,(776) 380-7823,(984) 853-1945,thomas.scott@gmail.com,"1998 Oak St, Philadelphia, PA",Philadelphia,PA,48621,1/28/2015,WS-863236-W1,CLM-863236,PA,282,Unknown,No,Yes,96,Inconsistency in timeline,0,No,Yes,Video,No,1,No,HIGH,2,No,1,1,No,No
WS-863236-W2,Witness,WS-863236-W2,Amanda Smith,Amanda,Smith,71,8/14/1944,Female,Real Estate Agent Who Had Just Parked,City of Philadelphia,(704) 455-3133,(369) 610-1369,amanda.smith@gmail.com,"6485 Pine St, Philadelphia, PA",Philadelphia,PA,42254,1/28/2015,WS-863236-W2,CLM-863236,PA,315,Stranger/Bystander,Unknown,Yes,83,Inconsistency in timeline,2,No,No,Written,No,1,Yes,HIGH,4,Yes,1,1,No,No
WS-863236-W3,Witness,WS-863236-W3,Thomas Collins,Thomas,Collins,43,12/24/1972,Male,Dog Walker,County Government,(380) 607-6602,,thomas.collins@outlook.com,"1746 Cedar Blvd, Allentown, PA",Allentown,PA,18834,1/28/2015,WS-863236-W3,CLM-863236,PA,423,Stranger/Bystander,Yes,Yes,47,Consistent with physical evidence,3,Yes,No,,Yes,1,Yes,LOW,6,Yes,1,1,No,No
WS-608513-W1,Witness,WS-608513-W1,Jennifer Allen,Jennifer,Allen,49,5/10/1966,Female,Real Estate Agent Who Had Just Parked,County Government,(587) 587-7177,(371) 644-5910,jennifer.allen@outlook.com,"3409 Pine Blvd, Richmond, VA",Richmond,VA,64795,1/7/2015,WS-608513-W1,CLM-608513,VA,196,Friend of Claimant,No,Unknown,68,Consistent with physical evidence,4,Yes,No,,No,1,No,MEDIUM,3,Yes,1,1,No,Yes
WS-596785-W1,Witness,WS-596785-W1,Jason Scott,Jason,Scott,57,4/4/1958,Male,School Bus Driver,County Government,(882) 529-7548,,jason.scott@gmail.com,"3391 Main St, Columbia, SC",Columbia,SC,98320,2/15/2015,WS-596785-W1,CLM-596785,SC,308,Unknown,No,Yes,86,Inconsistency in timeline,0,No,No,Written,Yes,1,No,HIGH,5,Yes,1,1,Yes,No
WS-596785-W2,Witness,WS-596785-W2,Karen King,Karen,King,24,1/5/1991,Female,Dog Walker,City of Spartanburg,(934) 809-2205,,karen.king@gmail.com,"6075 Cedar St, Spartanburg, SC",Spartanburg,SC,56266,2/15/2015,WS-596785-W2,CLM-596785,SC,210,Stranger/Bystander,Unknown,Unknown,77,Prior testimony flagged,0,No,No,Written,Yes,1,No,HIGH,3,Yes,1,1,No,No
WS-666333-W1,Witness,WS-666333-W1,Paul Collins,Paul,Collins,26,1/23/1989,Female,Postal Worker Making Deliveries,Private Company,(864) 635-8070,(969) 493-9790,paul.collins@gmail.com,"3233 Cedar Dr, Charleston, WV",Charleston,WV,53433,2/28/2015,WS-666333-W1,CLM-666333,WV,29,Stranger/Bystander,Yes,Yes,98,Prior testimony flagged,3,Yes,No,Written,Yes,1,No,HIGH,2,No,1,1,No,No
WS-666333-W2,Witness,WS-666333-W2,Mark Collins,Mark,Collins,55,12/14/1960,Male,Mail Carrier,City of Huntington,(221) 468-7544,,mark.collins@yahoo.com,"315 Oak Blvd, Huntington, WV",Huntington,WV,42454,2/28/2015,WS-666333-W2,CLM-666333,WV,120,Unknown,Yes,Yes,87,Inconsistency in timeline,2,No,No,Written,Yes,1,No,HIGH,1,No,1,1,No,No
WS-336614-W1,Witness,WS-336614-W1,Brian Nelson,Brian,Nelson,32,6/8/1983,Male,School Bus Driver,City of Rochester,(537) 640-7644,,brian.nelson@gmail.com,"3955 Cedar Dr, Rochester, NY",Rochester,NY,29139,2/24/2015,WS-336614-W1,CLM-336614,NY,479,Unknown,Unknown,Yes,50,Corroborated by dashcam,0,No,No,Audio,No,1,No,MEDIUM,3,Yes,1,1,Yes,No
WS-336614-W2,Witness,WS-336614-W2,Michelle Clark,Michelle,Clark,64,2/8/1951,Male,Pedestrian,City of Rochester,(251) 733-1989,,michelle.clark@yahoo.com,"6156 Main Dr, Rochester, NY",Rochester,NY,22222,2/24/2015,WS-336614-W2,CLM-336614,NY,83,Stranger/Bystander,Yes,Yes,86,No prior testimony history,4,Yes,No,Audio,No,1,Yes,HIGH,1,No,1,1,No,No
WS-336614-W3,Witness,WS-336614-W3,Angela Green,Angela,Green,38,3/28/1977,Female,Pedestrian,Retired,(795) 635-7465,,angela.green@yahoo.com,"4061 Main St, Albany, NY",Albany,NY,27442,2/24/2015,WS-336614-W3,CLM-336614,NY,219,Neighbor,Unknown,Yes,65,Statement matches police report,5,Yes,No,Written,No,1,Yes,MEDIUM,4,Yes,1,1,No,No
WS-584859-W1,Witness,WS-584859-W1,Eric Nelson,Eric,Nelson,31,3/25/1984,Female,Delivery Driver,City of New York,(690) 432-3920,,eric.nelson@outlook.com,"5410 Oak St, New York, NY",New York,NY,90771,1/9/2015,WS-584859-W1,CLM-584859,NY,268,Neighbor,Yes,Unknown,70,Corroborated by dashcam,5,Yes,No,,No,1,No,MEDIUM,4,Yes,1,1,Yes,Yes
WS-584859-W2,Witness,WS-584859-W2,Melissa Hall,Melissa,Hall,37,9/1/1978,Male,Dog Walker,County Government,(940) 340-3608,,melissa.hall@yahoo.com,"5072 Main Blvd, New York, NY",New York,NY,51467,1/9/2015,WS-584859-W2,CLM-584859,NY,422,Stranger/Bystander,Yes,No,92,Inconsistency in timeline,3,Yes,No,Written,Yes,1,No,HIGH,1,No,1,1,No,No
WS-990493-W1,Witness,WS-990493-W1,Daniel Hall,Daniel,Hall,42,1/21/1973,Male,College Student Waiting For The Bus,County Government,(486) 865-3480,(371) 833-7668,daniel.hall@yahoo.com,"9075 Oak Dr, Morgantown, WV",Morgantown,WV,46873,2/12/2015,WS-990493-W1,CLM-990493,WV,331,Unknown,No,No,65,Inconsistency in timeline,5,Yes,No,Written,No,1,No,MEDIUM,1,No,1,1,No,No
WS-200152-W1,Witness,WS-200152-W1,Laura Collins,Laura,Collins,64,8/11/1951,Male,Nurse Heading To Work,Unemployed,(252) 212-5345,(973) 388-9280,laura.collins@outlook.com,"6923 Pine Blvd, Albany, NY",Albany,NY,35870,1/9/2015,WS-200152-W1,CLM-200152,NY,167,Passerby,Yes,No,69,Statement matches police report,3,Yes,No,Audio,No,1,No,MEDIUM,3,Yes,1,1,No,No
WS-933293-W1,Witness,WS-933293-W1,Mark Adams,Mark,Adams,72,9/5/1943,Female,Mail Carrier,Retired,(260) 957-1860,(220) 773-5185,mark.adams@outlook.com,"6995 Cedar St, Charleston, WV",Charleston,WV,32125,1/18/2015,WS-933293-W1,CLM-933293,WV,197,Stranger/Bystander,Yes,Unknown,84,Prior testimony flagged,2,No,No,Written,No,1,No,HIGH,1,No,1,1,No,No
WS-982871-W1,Witness,WS-982871-W1,Steven Smith,Steven,Smith,54,10/10/1961,Male,Nurse Heading To Work,Self-Employed,(976) 798-7812,(214) 665-3680,steven.smith@gmail.com,"126 Main Dr, Charlotte, NC",Charlotte,NC,56993,1/8/2015,WS-982871-W1,CLM-982871,NC,306,Friend of Claimant,Unknown,Unknown,67,Statement matches police report,5,Yes,No,Written,No,1,No,MEDIUM,1,No,1,1,No,No
WS-982871-W2,Witness,WS-982871-W2,Ashley Scott,Ashley,Scott,51,7/12/1964,Male,Mail Carrier,Private Company,(535) 451-2445,(784) 650-7518,ashley.scott@outlook.com,"6361 Cedar St, Durham, NC",Durham,NC,32480,1/8/2015,WS-982871-W2,CLM-982871,NC,493,Stranger/Bystander,Yes,No,87,No prior testimony history,4,Yes,No,Written,No,1,Yes,HIGH,3,Yes,1,1,No,No
WS-982871-W3,Witness,WS-982871-W3,Thomas Green,Thomas,Green,39,10/14/1976,Male,Delivery Driver,Unemployed,(531) 422-2963,(671) 531-7542,thomas.green@gmail.com,"8772 Maple St, Greensboro, NC",Greensboro,NC,45354,1/8/2015,WS-982871-W3,CLM-982871,NC,91,Unknown,Unknown,Yes,88,Consistent with physical evidence,0,No,Yes,Audio,No,1,No,HIGH,4,Yes,1,1,No,Yes
WS-206213-W1,Witness,WS-206213-W1,Melissa Evans,Melissa,Evans,65,5/1/1950,Male,Retired Police Officer Walking Their Dog,Retired,(436) 306-3149,(757) 999-9861,melissa.evans@gmail.com,"7918 Pine Blvd, Morgantown, WV",Morgantown,WV,52418,1/3/2015,WS-206213-W1,CLM-206213,WV,27,Stranger/Bystander,No,Unknown,73,Inconsistency in timeline,1,No,No,Audio,No,1,No,MEDIUM,3,Yes,1,1,No,No
WS-206213-W2,Witness,WS-206213-W2,Daniel Reed,Daniel,Reed,26,2/7/1989,Male,Real Estate Agent Who Had Just Parked,Retired,(845) 944-3902,,daniel.reed@gmail.com,"8058 Main Blvd, Morgantown, WV",Morgantown,WV,28127,1/3/2015,WS-206213-W2,CLM-206213,WV,217,Stranger/Bystander,Yes,No,62,Inconsistency in timeline,0,No,No,Written,No,1,No,MEDIUM,6,Yes,1,1,No,No
WS-616337-W1,Witness,WS-616337-W1,Jennifer Campbell,Jennifer,Campbell,43,2/24/1972,Female,Rideshare Driver,City of Huntington,(878) 723-3650,,jennifer.campbell@yahoo.com,"2630 Maple St, Huntington, WV",Huntington,WV,32984,1/1/2015,WS-616337-W1,CLM-616337,WV,306,Stranger/Bystander,No,Yes,50,Statement matches police report,4,Yes,No,Written,No,1,Yes,MEDIUM,3,Yes,1,1,Yes,No
WS-790442-W1,Witness,WS-790442-W1,Jessica Turner,Jessica,Turner,21,2/15/1994,Male,Mail Carrier,Unemployed,(308) 415-3442,(432) 738-4587,jessica.turner@yahoo.com,"9894 Maple Ave, Charlotte, NC",Charlotte,NC,22604,2/10/2015,WS-790442-W1,CLM-790442,NC,345,Unknown,Unknown,Yes,78,Consistent with physical evidence,5,Yes,No,Written,No,1,No,HIGH,2,No,1,1,No,No
WS-790442-W2,Witness,WS-790442-W2,Thomas Clark,Thomas,Clark,42,6/16/1973,Female,Mail Carrier,City of Charlotte,(892) 256-2007,,thomas.clark@gmail.com,"2512 Cedar Blvd, Charlotte, NC",Charlotte,NC,98567,2/10/2015,WS-790442-W2,CLM-790442,NC,484,Unknown,Yes,Yes,48,Inconsistency in timeline,5,Yes,No,Written,No,1,Yes,LOW,5,Yes,1,1,No,No
WS-108844-W1,Witness,WS-108844-W1,Robert King,Robert,King,21,6/22/1994,Female,Delivery Driver,Private Company,(436) 499-3230,(803) 270-7960,robert.king@gmail.com,"4878 Cedar Ave, Charleston, SC",Charleston,SC,81304,2/14/2015,WS-108844-W1,CLM-108844,SC,379,Passerby,Unknown,No,86,Corroborated by dashcam,0,No,No,Written,Yes,1,No,HIGH,5,Yes,1,1,No,Yes
WS-108844-W2,Witness,WS-108844-W2,Daniel Wright,Daniel,Wright,41,3/6/1974,Male,Pedestrian,City of Greenville,(458) 253-5059,(450) 560-6418,daniel.wright@outlook.com,"4643 Cedar Blvd, Greenville, SC",Greenville,SC,75086,2/14/2015,WS-108844-W2,CLM-108844,SC,495,Stranger/Bystander,Yes,Yes,73,Consistent with physical evidence,2,No,No,Audio,No,1,No,MEDIUM,8,Yes,1,1,Yes,No
WS-430029-W1,Witness,WS-430029-W1,Eric Carter,Eric,Carter,64,5/23/1951,Female,Mail Carrier,County Government,(899) 740-6415,,eric.carter@gmail.com,"3615 Cedar Blvd, Albany, NY",Albany,NY,68689,2/21/2015,WS-430029-W1,CLM-430029,NY,256,Stranger/Bystander,Yes,Yes,79,Inconsistency in timeline,3,Yes,No,Written,No,1,No,HIGH,5,Yes,1,1,No,No
