:ID,:LABEL,agent_code,agent_name,agency_name,agent_type,license_number,license_state,license_lines,designation,years_experience,hire_date,active_policies_count,ytd_premium_written,commission_rate_pct,ytd_commission_earned,retention_rate_pct,claims_ratio_pct,new_business_count_ytd,e_and_o_insurance,phone,email,office_address,certifications,performance_tier,fraud_referral_count_ytd,last_training_date,supervisor_name
AGT-1888,Agent,AGT-1888,David Sullivan,Heartland Insurance Services,Independent,LIC-IL-959949,IL,All Lines,CIC,8,3/01/2007,79,201350.84,10.4,14953.59,83.0,58.6,79,Yes,(931) 841-2228,david.sullivan@heartlandinsura.com,"5258 Business Park Dr, IL",Commercial Lines Cert,Silver,5,8/01/2014,District Manager A
AGT-4154,Agent,AGT-4154,Michael Okafor,Lakefront Coverage Group,Broker,LIC-IL-107649,IL,Commercial,None,25,12/01/1990,105,582943.06,15.1,12115.62,80.2,79.5,67,Yes,(287) 282-5683,michael.okafor@lakefrontcovera.com,"4116 Business Park Dr, IL",Commercial Lines Cert|Life & Health Licensed,Platinum,0,11/01/2014,District Manager A
AGT-4285,Agent,AGT-4285,Michael Morrison,Lakefront Coverage Group,Captive,LIC-IN-153273,IN,Home,CIC,8,10/01/2007,173,729250.59,10.3,21648.61,78.7,56.9,49,Yes,(798) 558-9795,michael.morrison@lakefrontcovera.com,"855 Business Park Dr, IN",Life & Health Licensed|Cyber Liability Cert,Silver,9,3/01/2014,Regional VP B
AGT-6073,Agent,AGT-6073,James Patel,Heartland Insurance Services,Captive,LIC-IL-325773,IL,Auto,None,16,7/01/1999,176,119330.93,12.1,10775.43,77.2,54.5,34,Yes,(517) 843-7872,james.patel@heartlandinsura.com,"902 Business Park Dr, IL",Cyber Liability Cert,Gold,6,7/01/2014,District Manager A
AGT-7137,Agent,AGT-7137,Sandra Sullivan,Lakefront Coverage Group,Independent,LIC-IN-957600,IN,Commercial,LUTCF,1,5/01/2014,225,557611.68,9.8,50626.57,80.0,53.3,23,Yes,(938) 426-7712,sandra.sullivan@lakefrontcovera.com,"3393 Business Park Dr, IN",,Silver,10,4/01/2014,District Manager A
AGT-6706,Agent,AGT-6706,Maria Sullivan,Prairie State Insurance Partners,Captive,LIC-IL-364859,IL,Auto,CLU,12,12/01/2003,149,330819.58,9.4,18775.81,73.4,86.3,17,Yes,(455) 448-3471,maria.sullivan@prairiestateins.com,"7600 Business Park Dr, IL",Life & Health Licensed,Gold,5,2/01/2014,Regional VP B
AGT-9860,Agent,AGT-9860,Kevin Nguyen,Heartland Insurance Services,Independent,LIC-OH-349449,OH,Home,ChFC,7,3/01/2008,29,570189.65,12.7,56546.35,78.5,71.6,28,Yes,(454) 242-7152,kevin.nguyen@heartlandinsura.com,"629 Business Park Dr, OH",Cyber Liability Cert|Life & Health Licensed,Bronze,10,4/01/2014,Branch Director C
AGT-9589,Agent,AGT-9589,Maria Nguyen,Prairie State Insurance Partners,Captive,LIC-IL-658262,IL,All Lines,None,14,7/01/2001,118,149493.86,11.7,29834.08,97.9,79.1,55,Yes,(253) 568-1275,maria.nguyen@prairiestateins.com,"4871 Business Park Dr, IL",Anti-Fraud Certified,Gold,9,5/01/2014,Branch Director C
AGT-9294,Agent,AGT-9294,David Sullivan,Lakefront Coverage Group,Broker,LIC-IL-491307,IL,Commercial,CLU,30,5/01/1985,208,746771.71,14.1,26612.1,92.6,52.8,51,No,(309) 898-8982,david.sullivan@lakefrontcovera.com,"3805 Business Park Dr, IL",Life & Health Licensed,Gold,7,1/01/2014,District Manager A
AGT-7558,Agent,AGT-7558,Robert Fitzgerald,Tri-State Coverage Associates,Broker,LIC-IN-964219,IN,Home,CLU,3,8/01/2012,173,306212.08,9.8,21408.78,74.6,85.1,75,Yes,(852) 645-7475,robert.fitzgerald@tri-statecovera.com,"1944 Business Park Dr, IN",Cyber Liability Cert,Gold,8,6/01/2014,Regional VP B
AGT-7516,Agent,AGT-7516,Brian Fitzgerald,Central Midwest Agency,Broker,LIC-OH-488913,OH,Life,CLU,30,6/01/1985,118,111386.0,16.1,40120.65,86.4,67.2,44,Yes,(740) 760-4546,brian.fitzgerald@centralmidwesta.com,"642 Business Park Dr, OH",,Gold,9,7/01/2014,Regional VP B
AGT-8239,Agent,AGT-8239,Maria Bergman,Prairie State Insurance Partners,Captive,LIC-IN-144060,IN,All Lines,None,27,6/01/1988,59,336976.31,8.6,25719.4,81.4,83.9,61,Yes,(556) 656-9372,maria.bergman@prairiestateins.com,"8417 Business Park Dr, IN",,Silver,2,8/01/2014,Branch Director C
AGT-5117,Agent,AGT-5117,Patricia Ramirez,Central Midwest Agency,Captive,LIC-IL-345304,IL,Commercial,ChFC,25,5/01/1990,191,52550.32,17.0,45492.85,86.6,56.0,51,Yes,(482) 462-8984,patricia.ramirez@centralmidwesta.com,"5859 Business Park Dr, IL",Cyber Liability Cert|Anti-Fraud Certified,Gold,6,7/01/2014,Branch Director C
AGT-6359,Agent,AGT-6359,Sandra Ramirez,Tri-State Coverage Associates,Independent,LIC-OH-511260,OH,Auto,None,12,1/01/2003,229,410573.86,11.9,56644.29,72.7,44.3,46,No,(839) 298-6030,sandra.ramirez@tri-statecovera.com,"7430 Business Park Dr, OH",,Platinum,1,10/01/2014,Regional VP B
AGT-3906,Agent,AGT-3906,Sandra Ramirez,Lakefront Coverage Group,Broker,LIC-IL-600473,IL,Life,CIC,21,10/01/1994,159,157119.66,12.7,34528.17,97.7,40.7,21,Yes,(202) 283-8075,sandra.ramirez@lakefrontcovera.com,"5858 Business Park Dr, IL",Commercial Lines Cert|Life & Health Licensed,Gold,9,9/01/2014,Regional VP B
AGT-1986,Agent,AGT-1986,Thomas Yamamoto,Midwest Auto Insurance Agency,Broker,LIC-IN-131615,IN,Home,CIC,5,7/01/2010,222,210357.25,15.1,34705.45,90.8,76.0,10,Yes,(274) 980-7522,thomas.yamamoto@midwestautoinsu.com,"7536 Business Park Dr, IN",Cyber Liability Cert,Gold,7,2/01/2014,Branch Director C
AGT-4003,Agent,AGT-4003,James Yamamoto,Midwest Auto Insurance Agency,Independent,LIC-IN-656599,IN,All Lines,LUTCF,8,4/01/2007,148,673803.06,11.0,18160.97,83.5,59.7,35,Yes,(726) 316-3142,james.yamamoto@midwestautoinsu.com,"9182 Business Park Dr, IN",Life & Health Licensed,Platinum,0,4/01/2014,Branch Director C
AGT-6316,Agent,AGT-6316,Michael Ashworth,Lakefront Coverage Group,Captive,LIC-OH-568237,OH,Home,CPCU,28,6/01/1987,107,347641.42,10.9,56960.27,89.8,48.5,77,Yes,(899) 329-1022,michael.ashworth@lakefrontcovera.com,"8117 Business Park Dr, OH",,Bronze,5,11/01/2014,Branch Director C
AGT-8640,Agent,AGT-8640,Thomas Sullivan,Heartland Insurance Services,Independent,LIC-OH-681423,OH,All Lines,LUTCF,5,9/01/2010,242,72921.01,17.1,72696.09,78.0,44.6,43,Yes,(603) 820-8614,thomas.sullivan@heartlandinsura.com,"8095 Business Park Dr, OH",Commercial Lines Cert|Anti-Fraud Certified,Gold,4,6/01/2014,District Manager A
AGT-4699,Agent,AGT-4699,Robert Okafor,Midwest Auto Insurance Agency,Broker,LIC-IN-124976,IN,Auto,None,30,5/01/1985,199,473983.99,17.4,46836.44,70.9,69.6,73,Yes,(748) 498-4477,robert.okafor@midwestautoinsu.com,"438 Business Park Dr, IN",Life & Health Licensed,Platinum,6,7/01/2014,District Manager A
AGT-6321,Agent,AGT-6321,Robert Patel,Prairie State Insurance Partners,Captive,LIC-IN-662763,IN,Commercial,CLU,18,11/01/1997,121,695848.74,11.3,16529.35,75.5,49.5,8,Yes,(249) 975-2676,robert.patel@prairiestateins.com,"5984 Business Park Dr, IN",Commercial Lines Cert|Anti-Fraud Certified,Gold,10,2/01/2014,District Manager A
AGT-9849,Agent,AGT-9849,Maria Nguyen,Midwest Auto Insurance Agency,Independent,LIC-IL-428455,IL,Life,None,25,6/01/1990,217,537500.52,16.8,8302.04,82.7,64.5,47,Yes,(257) 666-4679,maria.nguyen@midwestautoinsu.com,"1503 Business Park Dr, IL",Commercial Lines Cert|Life & Health Licensed,Platinum,10,2/01/2014,District Manager A
AGT-2613,Agent,AGT-2613,Maria Sullivan,Tri-State Coverage Associates,Captive,LIC-OH-361786,OH,Auto,CPCU,13,1/01/2002,97,422349.38,10.3,21365.7,74.8,46.5,40,Yes,(599) 291-9326,maria.sullivan@tri-statecovera.com,"7864 Business Park Dr, OH",Life & Health Licensed|Cyber Liability Cert,Gold,10,10/01/2014,Regional VP B
AGT-1612,Agent,AGT-1612,Angela Kowalski,Lakefront Coverage Group,Captive,LIC-IN-202006,IN,Home,ChFC,1,3/01/2014,158,242500.17,8.8,23189.82,97.0,62.5,18,Yes,(429) 848-3639,angela.kowalski@lakefrontcovera.com,"8305 Business Park Dr, IN",Commercial Lines Cert,Gold,4,7/01/2014,Branch Director C
AGT-8283,Agent,AGT-8283,Lisa Nguyen,Heartland Insurance Services,Independent,LIC-IL-950486,IL,Life,ChFC,15,3/01/2000,69,696922.42,15.1,42585.23,79.1,69.2,37,Yes,(603) 473-6811,lisa.nguyen@heartlandinsura.com,"2830 Business Park Dr, IL",,Bronze,9,8/01/2014,District Manager A
AGT-6747,Agent,AGT-6747,Karen Morrison,Tri-State Coverage Associates,Captive,LIC-IL-555206,IL,All Lines,CPCU,11,2/01/2004,46,420730.76,14.9,47746.08,83.1,51.0,29,Yes,(233) 959-6673,karen.morrison@tri-statecovera.com,"5053 Business Park Dr, IL",Commercial Lines Cert|Cyber Liability Cert,Gold,8,5/01/2014,Regional VP B
AGT-6219,Agent,AGT-6219,Nancy Patel,Central Midwest Agency,Independent,LIC-OH-755717,OH,Life,CIC,6,1/01/2009,187,309636.41,15.2,28138.3,83.4,43.3,19,Yes,(859) 642-6357,nancy.patel@centralmidwesta.com,"6709 Business Park Dr, OH",Life & Health Licensed,Gold,3,6/01/2014,Regional VP B
AGT-8529,Agent,AGT-8529,James Ramirez,Tri-State Coverage Associates,Broker,LIC-OH-449128,OH,Auto,CIC,5,1/01/2010,209,685415.5,14.6,40836.19,77.2,89.3,65,Yes,(647) 870-1049,james.ramirez@tri-statecovera.com,"4195 Business Park Dr, OH",Anti-Fraud Certified,Bronze,3,3/01/2014,Regional VP B
AGT-3276,Agent,AGT-3276,Nancy Okafor,Prairie State Insurance Partners,Captive,LIC-IN-269100,IN,All Lines,None,15,12/01/2000,71,342590.21,10.4,28946.64,78.0,79.2,32,Yes,(450) 356-1450,nancy.okafor@prairiestateins.com,"8566 Business Park Dr, IN",,Gold,8,1/01/2014,Branch Director C
AGT-7120,Agent,AGT-7120,Patricia Morrison,Tri-State Coverage Associates,Captive,LIC-IN-725457,IN,Commercial,ChFC,29,7/01/1986,144,95671.86,11.1,8413.75,78.2,51.8,31,Yes,(266) 719-6469,patricia.morrison@tri-statecovera.com,"4368 Business Park Dr, IN",,Bronze,3,12/01/2014,Regional VP B
AGT-4559,Agent,AGT-4559,Thomas Ramirez,Lakefront Coverage Group,Independent,LIC-OH-100691,OH,Life,None,16,12/01/1999,140,659950.4,17.8,32830.08,73.2,83.3,29,Yes,(964) 856-2791,thomas.ramirez@lakefrontcovera.com,"744 Business Park Dr, OH",Life & Health Licensed|Commercial Lines Cert,Bronze,5,9/01/2014,District Manager A
AGT-5359,Agent,AGT-5359,Thomas Sullivan,Central Midwest Agency,Broker,LIC-OH-598621,OH,All Lines,CIC,24,5/01/1991,119,646268.06,8.2,46563.7,79.0,84.0,57,Yes,(983) 569-4786,thomas.sullivan@centralmidwesta.com,"9427 Business Park Dr, OH",,Gold,10,3/01/2014,Branch Director C
AGT-5845,Agent,AGT-5845,Sandra Okafor,Tri-State Coverage Associates,Broker,LIC-IN-565315,IN,Home,CPCU,8,6/01/2007,205,607525.35,10.0,78043.79,91.1,51.9,52,Yes,(755) 932-2496,sandra.okafor@tri-statecovera.com,"2055 Business Park Dr, IN",,Bronze,8,10/01/2014,Regional VP B
AGT-5562,Agent,AGT-5562,Lisa Callahan,Heartland Insurance Services,Captive,LIC-OH-406249,OH,Home,None,27,9/01/1988,82,474490.18,14.9,36526.53,74.2,55.2,77,Yes,(941) 828-5442,lisa.callahan@heartlandinsura.com,"6351 Business Park Dr, OH",,Gold,4,4/01/2014,Regional VP B
AGT-7408,Agent,AGT-7408,Lisa Delgado,Prairie State Insurance Partners,Broker,LIC-OH-862808,OH,Commercial,None,9,3/01/2006,128,651714.27,16.2,16273.54,79.3,52.9,59,Yes,(502) 514-3310,lisa.delgado@prairiestateins.com,"1037 Business Park Dr, OH",,Gold,9,12/01/2014,District Manager A
AGT-1389,Agent,AGT-1389,Angela Okafor,Central Midwest Agency,Captive,LIC-OH-984329,OH,Auto,None,24,9/01/1991,141,704000.08,15.2,36286.61,77.7,60.0,22,Yes,(467) 409-5634,angela.okafor@centralmidwesta.com,"7116 Business Park Dr, OH",Anti-Fraud Certified|Cyber Liability Cert,Gold,1,7/01/2014,Regional VP B
AGT-9920,Agent,AGT-9920,Patricia Ramirez,Heartland Insurance Services,Broker,LIC-IN-428997,IN,Commercial,None,15,12/01/2000,220,380219.04,10.5,59099.45,97.1,86.9,55,Yes,(452) 500-7376,patricia.ramirez@heartlandinsura.com,"7649 Business Park Dr, IN",,Silver,5,5/01/2014,Branch Director C
AGT-6869,Agent,AGT-6869,James Delgado,Tri-State Coverage Associates,Independent,LIC-IL-882658,IL,Auto,CLU,13,7/01/2002,249,491378.62,9.3,35805.41,95.7,45.5,50,Yes,(690) 329-3972,james.delgado@tri-statecovera.com,"7850 Business Park Dr, IL",,Bronze,6,10/01/2014,Branch Director C
AGT-1084,Agent,AGT-1084,James Kowalski,Central Midwest Agency,Independent,LIC-OH-842834,OH,Auto,None,22,1/01/1993,42,150002.78,9.5,50831.55,85.2,67.2,56,No,(649) 280-3740,james.kowalski@centralmidwesta.com,"5636 Business Park Dr, OH",Cyber Liability Cert,Silver,0,1/01/2014,Regional VP B
AGT-1640,Agent,AGT-1640,Michael Nguyen,Tri-State Coverage Associates,Captive,LIC-OH-644762,OH,Home,None,27,9/01/1988,23,57886.45,12.5,59780.9,79.9,81.3,66,Yes,(697) 924-4575,michael.nguyen@tri-statecovera.com,"5971 Business Park Dr, OH",Cyber Liability Cert|Life & Health Licensed,Gold,6,8/01/2014,Regional VP B
AGT-3896,Agent,AGT-3896,David Bergman,Tri-State Coverage Associates,Captive,LIC-IN-361860,IN,All Lines,None,8,6/01/2007,182,307103.17,10.7,14624.31,90.8,83.8,40,Yes,(598) 414-6622,david.bergman@tri-statecovera.com,"5749 Business Park Dr, IN",Life & Health Licensed,Silver,2,3/01/2014,Regional VP B
