:ID,:LABEL,policy_number,first_name,middle_initial,last_name,full_name,date_of_birth,age,gender,marital_status,relationship_to_named_insured,blood_type,citizenship_status,ssn_last4,drivers_license_state,drivers_license_number,primary_email,work_email,phone_home,phone_mobile,phone_work,preferred_contact_method,preferred_language,do_not_call_flag,e_signature_consent,marketing_opt_in,paperless_enrolled,communication_preference,statement_delivery_preference,residential_address,mailing_address,city,state,state_full,zip_code,county,country,address_type,years_at_address,customer_since,months_as_customer,tenure_years,customer_tier,account_status,autopay_enrolled,last_login_date,last_payment_date,payment_history_score,nps_score,churn_risk_score,lifetime_value_usd,deceased_flag,occupation_code,job_title,employer_name,years_with_employer,employment_status,annual_income_band,education_level,capital_gains,capital_loss,net_financial_position,net_worth_band,bankruptcy_history,credit_tier,credit_score_estimate,risk_score,risk_band,prior_claims_count,prior_claims_note,fraud_flag,fraud_investigation_open,siu_referral_flag,watchlist_flag,high_risk_hobby_flag,hobbies_interests,household_members,licensed_drivers_in_household,has_minor_drivers,pets_in_household,social_media_presence,mobile_app_user,online_quote_origin,assigned_agent,agent_code,agency_name,ssn_hash,identity_verification_status,kyc_verified_date,device_id,device_type,browser,ip_address_last_login,ip_flagged,bank_name,bank_account_hash,bank_account_last4,payment_method_token,payment_type_preferred,fraud_history_count,identity_theft_flag,shared_phone_flag,shared_address_flag,shared_bank_flag,cross_policy_entities,linked_entity_count,synthetic_identity_flag,role_switching_flag
CUST-OH-5436-2258,Customer,543610,Deborah,M,Rivera,Deborah M. Rivera,9/6/1984,42,Female,Other,other-relative,B-,US Citizen,5120,OH,DL-OH-27762574,rivera.d6@hotmail.com,drivera@enterprise.org,(614) 952-1606,(216) 836-6395,(614) 555-3310,Phone Call,English,No,Yes,Opted In - All Channels,Yes,Email and Postal Mail,Electronic (PDF via Email),"4023 Sunrise Pl, Lakewood, Oh 46228","Po Box 7996, Lakewood, Oh 46228",Lakewood,OH,Ohio,46228,Lakewood County,USA,Owned,9,7/22/2006,235,19.6,Gold,Active,Yes - ACH Bank Draft,12/5/2015,11/12/2015,90,7,46,24541.05,No,exec-managerial,Chief Operating Officer,Superior Parts & Supply,4,Self-Employed,$60K-$100K,Masters,38400,0,38400,$50K-$100K,Chapter 13,Preferred,749,14,Low,2,2 prior claim(s) on record,N,No,No,No,No,dancing,2,2,No,Cat,LinkedIn,Yes,Yes,Patricia Kowalski,AGT-8692,Central Midwest Agency,30012dd533032c18,Verified,5/01/2012,DEV-B4468A887E83,iPad,Firefox,192.168.128.34,No,PNC,130a3d72f4494a72,3962,TOK-574942206DAB83DE,Check,0,No,No,No,No,3,7,No,No
CUST-OH-2146-9056,Customer,214618,Nancy,A,Hernandez,Nancy A. Hernandez,1/10/1965,61,Female,Other,other-relative,AB+,US Citizen,1266,OH,DL-OH-94530618,nancy.hernandez@live.com,,(513) 561-3638,(440) 843-5528,,Phone Call,English,No,Yes,Opted In - Email Only,No,Postal Mail Only,Paper Copy via Postal Mail,"2901 Walnut Terr, Springfield, Oh 61556","2901 Walnut Terr, Springfield, Oh 61556",Springfield,OH,Ohio,61556,Springfield County,USA,Owned,21,11/20/1988,447,37.2,Platinum,Active,Yes - ACH Bank Draft,4/12/2015,17/5/2015,95,1,39,42357.72,No,exec-managerial,Director of Finance,Clearwater Engineering,6,Self-Employed,$60K-$100K,High School,0,-51000,-51000,<$50K,,Non-Standard,564,56,Medium,0,0 prior claim(s) on record,N,No,No,No,Yes,skydiving,2,2,No,Dog,LinkedIn,Yes,Yes,David Fitzgerald,AGT-6322,Tri-State Coverage Associates,2a60b50fc5391ed0,Verified,11/01/2010,DEV-A39CD320D499,Unknown,Unknown,192.168.8.162,No,US Bank,dc34e539b294b547,2513,TOK-7B69CBC14E409396,Money Order,0,No,No,No,No,2,1,No,No
CUST-OH-8426-7028,Customer,842643,James,F,Watson,James F. Watson,10/13/2003,23,Male,Married,wife,B+,US Citizen,2580,OH,DL-OH-91650370,james641@mac.com,jwatson@live.com,(330) 527-8496,(330) 452-3240,(330) 397-5942,Online Portal,English,No,No,Opted Out - No Marketing,No,Email Primary / Postal for Legal Notices,Paper Copy via Postal Mail,"4069 Forest Pkwy, Elyria, Oh 43222","4069 Forest Pkwy, Elyria, Oh 43222",Elyria,OH,Ohio,43222,Elyria County,USA,Owned,6,2/20/2021,60,5.0,Silver,Active,Yes - ACH Bank Draft,28/2/2015,3/11/2015,68,2,34,6076.8,No,protective-serv,Employed,Heartland Retail Corp.,1,Part-Time,$100K-$200K,MD,0,0,0,$50K-$100K,Chapter 7,Standard,645,83,High,0,0 prior claim(s) on record,N,No,No,No,No,reading,2,2,No,Cat,,Yes,Yes,Maria Patel,AGT-9765,Prairie State Insurance Partners,f5158a1a684e90b3,Pending,3/01/2010,DEV-A71EF454290F,iPad,Safari,192.168.41.17,No,Citibank,da966628becaa15e,8517,TOK-F82EA31F1DC07547,Money Order,0,No,No,No,No,4,0,No,No
CUST-OH-6268-7438,Customer,626808,Rachel,B,Davis,Rachel B. Davis,7/14/1992,34,Female,Married,wife,B-,US Citizen,9500,OH,DL-OH-52994580,rachel.davis@yahoo.com,rdavis@veterans.gov,(216) 471-9059,(440) 538-5873,(216) 374-2058,SMS Text,English,No,No,Opted Out - No Marketing,Yes,Email Primary / Postal for Legal Notices,Electronic (PDF via Email),"6003 Oak St, Dayton, Oh 46465","6003 Oak St, Dayton, Oh 46465",Dayton,OH,Ohio,46465,Dayton County,USA,Rented,4,1/21/2016,121,10.1,Silver,Active,No - Manual Payment,16/12/2015,24/1/2015,94,8,72,9444.05,No,armed-forces,Marine Corps Veteran,Heartland Retail Corp.,12,Part-Time,$100K-$200K,MD,52800,-32800,20000,$50K-$100K,,Standard Plus,729,16,Low,1,1 prior claim(s) on record,N,No,No,No,Yes,bungie-jumping,5,3,No,Dog,Facebook,No,Yes,David Bergman,AGT-4662,Prairie State Insurance Partners,25c4530ed1a642a0,Verified,1/01/2014,DEV-8A20EC89CE6D,Desktop/Mac,Unknown,192.168.120.123,No,PNC,f8e52e810fbe5561,4848,TOK-4FF62D9A3073B003,Check,0,No,No,No,No,2,7,No,No
CUST-OH-6440-9777,Customer,644081,Stephanie,F,Scott,Stephanie F. Scott,4/27/1988,38,Female,Single,not-in-family,AB+,US Citizen,3468,OH,DL-OH-60235649,stephanie958@att.net,sscott@manufacturing.com,(513) 937-2532,(614) 790-5606,,SMS Text,English,No,Yes,Opted In - Postal Only,Yes,Email and Postal Mail,Online Portal Only,"8654 Sunset Way, Cleveland, Oh 47668","8654 Sunset Way, Cleveland, Oh 47668",Cleveland,OH,Ohio,47668,Cleveland County,USA,Owned,15,2/20/2011,180,15.0,Gold,Active,Yes - ACH Bank Draft,22/10/2015,14/1/2015,70,9,33,19517.4,No,machine-op-inspct,Quality Inspector,Central States Insurance Group,6,Full-Time,$60K-$100K,College,41300,-55500,-14200,<$50K,,Standard,630,55,Medium,2,2 prior claim(s) on record,Y,No,No,No,No,board-games,2,1,No,,Facebook,Yes,Yes,Patricia Ashworth,AGT-5078,Lakefront Coverage Group,eae14b1127891d5b,Pending,7/01/2010,DEV-DFFCF949ED15,Android,Unknown,192.168.236.171,No,US Bank,2234f062f085af86,9456,TOK-C687FAFE06078863,ACH/Bank Transfer,2,No,No,No,No,4,7,No,No
CUST-IN-8928-5931,Customer,892874,Mary,M,Bailey,Mary M. Bailey,3/22/1968,58,Female,Other,other-relative,B-,US Citizen,6165,IN,DL-IN-50607720,mbailey24@sbcglobal.net,mbailey@moving.biz,(765) 961-4209,(260) 977-5066,,SMS Text,English,No,Yes,Opted In - Email Only,Yes,Postal Mail Only,Both Electronic and Paper,"9139 Oak Ave, Kokomo, In 45873","9139 Oak Ave, Kokomo, In 45873",Kokomo,IN,Indiana,45873,Kokomo County,USA,Owned,2,9/20/1986,473,39.4,Platinum,Active,Yes - ACH Bank Draft,18/1/2015,7/12/2015,100,9,60,44594.44,No,transport-moving,Truck Driver,Heartland Retail Corp.,13,Unemployed,>$200K,MD,55700,0,55700,$100K-$250K,,Preferred Plus,802,57,Medium,0,0 prior claim(s) on record,Y,No,No,No,No,movies,3,3,No,,Facebook,Yes,No,Lisa Delgado,AGT-2571,Prairie State Insurance Partners,429f041308139262,Verified,12/01/2015,DEV-EF10DD93E798,Unknown,Unknown,192.168.18.138,No,PNC,d53a6ab6f4321e4b,5965,TOK-94FA178F80A3D8C0,Money Order,0,No,No,No,No,2,5,No,Yes
CUST-OH-5589-5313,Customer,558938,Richard,R,Stewart,Richard R. Stewart,7/27/2000,26,Male,Other,own-child,AB-,US Citizen,2363,OH,DL-OH-25346995,richard316@comcast.net,,(937) 447-4380,(419) 996-5767,(937) 578-2590,Postal Mail,English,No,Yes,Opted Out - No Marketing,Yes,Email and Postal Mail,Electronic (PDF via Email),"6127 Forest Pkwy, Mentor, Oh 61988","6127 Forest Pkwy, Mentor, Oh 61988",Mentor,OH,Ohio,61988,Mentor County,USA,Owned,4,4/22/2020,70,5.8,Silver,Active,Yes - Credit Card,12/7/2015,17/1/2015,62,9,39,6996.5,No,machine-op-inspct,Assembly Line Worker,Cardinal Health Systems,2,Full-Time,$30K-$60K,College,63600,0,63600,$100K-$250K,,Preferred Plus,784,60,Medium,0,0 prior claim(s) on record,N,No,No,No,No,hiking,1,1,No,Dog,Twitter/X,No,Yes,Patricia Yamamoto,AGT-5188,Tri-State Coverage Associates,31e47578c140db2f,Verified,1/01/2010,DEV-FA5B4635EFF0,Desktop/Windows,Firefox,192.168.253.90,No,PNC,1f62004952823def,8374,TOK-969F6E87671D55C7,Money Order,0,No,No,No,No,1,2,No,No
CUST-IN-2752-4433,Customer,275265,James,C,Gray,James C. Gray,4/20/1995,31,Male,Single,unmarried,AB-,Permanent Resident,8675,IN,DL-IN-42533212,jgray41@verizon.net,jgray@manufacturing.com,(765) 989-2132,(812) 234-1402,,Email,English,Yes,No,Opted In - All Channels,No,Email Only,Paper Copy via Postal Mail,"6005 Sunrise Terr, South Bend, In 47061","6005 Sunrise Terr, South Bend, In 47061",South Bend,IN,Indiana,47061,South Bend County,USA,Owned,2,6/22/2014,140,11.7,Silver,Active,No - Manual Payment,24/6/2015,9/7/2015,61,8,91,8267.0,No,machine-op-inspct,Assembly Line Worker,Lakefront Financial Services,4,Full-Time,$60K-$100K,High School,53500,0,53500,$100K-$250K,,Preferred Plus,810,89,High,2,2 prior claim(s) on record,N,No,No,No,No,reading,3,1,No,,Instagram,No,No,Brian Fitzgerald,AGT-7748,Prairie State Insurance Partners,34a816ca3325c78d,Verified,5/01/2013,DEV-299ACD35177C,iPhone,Edge,192.168.49.185,No,PNC,6ec24fc92a568fb2,6651,TOK-F527DA9095050FE1,Debit Card,0,No,No,No,No,2,5,No,No
CUST-OH-9212-7406,Customer,921202,Kathleen,C,Walker,Kathleen C. Walker,12/9/1989,37,Female,Other,other-relative,O+,US Citizen,8025,OH,DL-OH-78430900,kwalker57@sbcglobal.net,kwalker@repairs.net,(513) 272-5296,,,SMS Text,English,Yes,Yes,Opted In - All Channels,Yes,SMS and Email,Both Electronic and Paper,"6458 Maple Way, Elyria, Oh 47213","6458 Maple Way, Elyria, Oh 47213",Elyria,OH,Ohio,47213,Elyria County,USA,Family-Owned,13,10/21/2012,160,13.3,Silver,Active,Yes - ACH Bank Draft,2/3/2015,16/5/2015,97,9,86,18323.2,No,craft-repair,Automotive Technician,Keystone Industrial Corp.,8,Full-Time,$60K-$100K,MD,45500,-37800,7700,$50K-$100K,,Standard Plus,724,65,Medium,1,1 prior claim(s) on record,N,No,No,No,No,yachting,2,2,No,Cat,LinkedIn,No,No,Michael Kowalski,AGT-1490,Central Midwest Agency,5601b15de2e04452,Verified,10/01/2014,DEV-2B3FA501B574,Unknown,Safari,192.168.17.45,No,Bank of America,fb12f51efa211771,3771,TOK-9AE45D6190EEFF5F,Money Order,0,No,No,No,No,3,6,No,No
CUST-IN-1439-3309,Customer,143972,Nancy,M,Mitchell,Nancy M. Mitchell,4/16/1987,39,Female,Other,own-child,O-,US Citizen,3048,IN,DL-IN-27791424,nmitchell77@att.net,nmitchell@aol.com,(317) 271-7135,(219) 630-1144,(317) 811-7763,SMS Text,English,Yes,No,Opted In - All Channels,Yes,Email Primary / Postal for Legal Notices,Both Electronic and Paper,"6298 Greenfield Ln, Terre Haute, In 47767","6298 Greenfield Ln, Terre Haute, In 47767",Terre Haute,IN,Indiana,47767,Terre Haute County,USA,Family-Owned,11,10/21/2009,196,16.3,Gold,Active,Yes - ACH Bank Draft,19/6/2015,6/8/2015,72,7,58,24104.08,No,handlers-cleaners,Employed,Cardinal Health Systems,13,Retired,<$30K,High School,57000,-27300,29700,$50K-$100K,,Preferred,756,75,High,2,2 prior claim(s) on record,N,No,No,No,No,camping,2,2,No,Dog,Instagram,No,Yes,Thomas Callahan,AGT-8292,Heartland Insurance Services,8223c38c307d9492,Not Started,6/01/2011,DEV-10816E0930CB,Desktop/Mac,Safari,192.168.190.81,No,Fifth Third,a08232b1a3405b7d,8002,TOK-0C71913E38360996,Check,0,No,No,No,No,0,8,No,No
CUST-IN-1834-4577,Customer,183430,Gregory,R,Robinson,Gregory R. Robinson,7/21/1964,62,Male,Other,own-child,B+,US Citizen,6229,IN,DL-IN-98715502,gregory228@att.net,grobinson@services.net,(260) 492-8925,(574) 359-1484,,Postal Mail,English,Yes,Yes,Opted Out - No Marketing,Yes,Email and Postal Mail,Electronic (PDF via Email),"5212 Hill Terr, Lafayette, In 61884","5212 Hill Terr, Lafayette, In 61884",Lafayette,IN,Indiana,61884,Lafayette County,USA,Rented,1,10/21/1987,460,38.3,Platinum,Active,Yes - Credit Card,14/6/2015,25/1/2015,60,6,15,45540.0,No,other-service,Home Health Aide,Valley View Properties,26,Retired,$60K-$100K,JD,0,0,0,$50K-$100K,,Standard,664,36,Low,1,1 prior claim(s) on record,N,No,No,No,Yes,bungie-jumping,1,1,No,,Twitter/X,Yes,Yes,Michael Nguyen,AGT-5805,Heartland Insurance Services,4629d0d77894ebaf,Verified,1/01/2010,DEV-B12AE1AB72C8,iPad,Chrome,192.168.12.238,No,PNC,67af23d9c724ad20,1453,TOK-61E7D25F7BDB0C9C,Money Order,0,No,No,No,No,0,6,No,No
