:ID,:LABEL,officer_id,officer_name,first_name,last_name,badge_number,rank,department,department_type,precinct,district,city,state,badge_issued_date,years_on_force,hire_date,shift,unit,cases_handled_ytd,accident_reports_ytd,arrests_ytd,commendations,disciplinary_actions,training_certifications,accident_reconstruction_certified,dui_certified,phone,email,supervisor_badge,reports_filed_this_claim,active_status
OFF-1569,PoliceOfficer,OFF-1569,Officer Linda Jackson,Linda,Jackson,1569,Officer,Municipal Police Department,Transit,Precinct 5,District 6,Columbia,SC,10/01/1987,28,8/01/1987,Evening (3PM-11PM),Special Investigations,278,84,25,12,2,Crisis Intervention|Accident Reconstruction|DUI Enforcement,No,Yes,(345) 470-2724,badge.1569@scpd.gov,6530,1,On Leave
OFF-6195,PoliceOfficer,OFF-6195,Officer Sandra Martinez,Sandra,Martinez,6195,Senior Officer,County Sheriff Police Department,Municipal,Precinct 2,District 3,Charleston,WV,3/01/1997,18,7/01/1997,Rotating,K9,378,70,37,2,1,Accident Reconstruction|EVOC (Emergency Driving)|Evidence Collection|Traffic Investigation,No,Yes,(984) 682-6360,badge.6195@wvpd.gov,7420,1,Active
OFF-8509,PoliceOfficer,OFF-8509,Officer Patricia Thompson,Patricia,Thompson,8509,Officer,Metropolitan Police Department,Municipal,Precinct 1,District 2,Albany,NY,8/01/1998,17,7/01/1998,Rotating,Patrol,223,83,35,5,1,Crisis Intervention|EVOC (Emergency Driving),No,No,(276) 909-2008,badge.8509@nypd.gov,5688,1,Active
OFF-4141,PoliceOfficer,OFF-4141,Officer John Jackson,John,Jackson,4141,Officer,Municipal Police Department,State Highway Patrol,Precinct 14,District 3,Charleston,WV,10/01/2010,5,8/01/2010,Night (11PM-7AM),Special Investigations,285,37,62,4,0,Traffic Investigation|Accident Reconstruction|EVOC (Emergency Driving),Yes,No,(732) 286-8532,badge.4141@wvpd.gov,5676,1,Retired
OFF-6833,PoliceOfficer,OFF-6833,Officer Sandra Moore,Sandra,Moore,6833,Sergeant,Municipal Police Department,County Sheriff,Precinct 17,District 7,Charleston,WV,5/01/1999,16,7/01/1999,Day (7AM-3PM),Traffic,127,118,55,8,0,DUI Enforcement|Accident Reconstruction|EVOC (Emergency Driving),No,No,(757) 719-2164,badge.6833@wvpd.gov,7231,1,Active
OFF-8912,PoliceOfficer,OFF-8912,Officer Robert Harris,Robert,Harris,8912,Officer,State Highway Patrol Police Department,Transit,Precinct 16,District 2,Albany,NY,1/01/2013,2,1/01/2013,Evening (3PM-11PM),Detective Bureau,100,128,31,10,1,Evidence Collection|EVOC (Emergency Driving)|Crisis Intervention|Traffic Investigation,No,No,(641) 823-6779,badge.8912@nypd.gov,8844,1,Active
OFF-4613,PoliceOfficer,OFF-4613,Officer Patricia Moore,Patricia,Moore,4613,Officer,State Highway Patrol Police Department,Transit,Precinct 17,District 5,Albany,NY,5/01/2003,12,1/01/2003,Evening (3PM-11PM),Patrol,88,145,12,2,0,Evidence Collection|EVOC (Emergency Driving)|Traffic Investigation|DUI Enforcement,No,No,(500) 879-7466,badge.4613@nypd.gov,2096,1,Active
OFF-9474,PoliceOfficer,OFF-9474,Officer Barbara Martin,Barbara,Martin,9474,Officer,Municipal Police Department,State Highway Patrol,Precinct 10,District 2,Charleston,WV,5/01/2013,2,6/01/2013,Day (7AM-3PM),Special Investigations,185,148,55,11,0,DUI Enforcement|Accident Reconstruction|Crisis Intervention|EVOC (Emergency Driving),Yes,No,(974) 379-9620,badge.9474@wvpd.gov,7070,1,Active
OFF-9971,PoliceOfficer,OFF-9971,Officer David Davis,David,Davis,9971,Officer,County Sheriff Police Department,County Sheriff,Precinct 9,District 6,Charleston,WV,4/01/1994,21,3/01/1994,Night (11PM-7AM),Detective Bureau,352,32,59,0,2,Traffic Investigation|Crisis Intervention|Evidence Collection|Accident Reconstruction,Yes,Yes,(748) 279-5400,badge.9971@wvpd.gov,9309,1,On Leave
OFF-1337,PoliceOfficer,OFF-1337,Officer Karen Anderson,Karen,Anderson,1337,Officer,Municipal Police Department,Municipal,Precinct 5,District 8,Columbia,SC,12/01/1992,23,12/01/1992,Day (7AM-3PM),Patrol,221,103,10,11,2,EVOC (Emergency Driving)|Accident Reconstruction,Yes,Yes,(350) 441-2094,badge.1337@scpd.gov,5756,1,Active
OFF-5539,PoliceOfficer,OFF-5539,Officer Sandra Thompson,Sandra,Thompson,5539,Captain,County Sheriff Police Department,County Sheriff,Precinct 14,District 2,Albany,NY,12/01/2004,11,3/01/2004,Day (7AM-3PM),K9,22,42,37,7,1,Traffic Investigation,Yes,Yes,(993) 690-1262,badge.5539@nypd.gov,9448,1,Active
OFF-3704,PoliceOfficer,OFF-3704,Officer Linda Anderson,Linda,Anderson,3704,Senior Officer,State Highway Patrol Police Department,County Sheriff,Precinct 4,District 3,Raleigh,NC,6/01/1995,20,10/01/1995,Day (7AM-3PM),Detective Bureau,324,124,23,4,1,Evidence Collection|EVOC (Emergency Driving)|DUI Enforcement|Traffic Investigation,No,No,(232) 549-7694,badge.3704@ncpd.gov,2071,1,Active
OFF-7282,PoliceOfficer,OFF-7282,Officer Barbara Miller,Barbara,Miller,7282,Senior Officer,State Highway Patrol Police Department,State Highway Patrol,Precinct 15,District 2,Albany,NY,11/01/2010,5,2/01/2010,Day (7AM-3PM),Patrol,271,143,13,4,2,Traffic Investigation|Accident Reconstruction|Crisis Intervention|Evidence Collection,No,Yes,(779) 713-2232,badge.7282@nypd.gov,8666,1,Active
OFF-2661,PoliceOfficer,OFF-2661,Officer William Miller,William,Miller,2661,Detective,County Sheriff Police Department,Municipal,Precinct 9,District 6,Charleston,WV,1/01/2010,5,12/01/2010,Evening (3PM-11PM),Special Investigations,190,107,64,7,2,DUI Enforcement,Yes,No,(211) 466-1592,badge.2661@wvpd.gov,6056,1,Active
OFF-1809,PoliceOfficer,OFF-1809,Officer Robert Thomas,Robert,Thomas,1809,Sergeant,Metropolitan Police Department,County Sheriff,Precinct 7,District 7,Albany,NY,11/01/2004,11,4/01/2004,Day (7AM-3PM),Traffic,87,64,34,3,0,Crisis Intervention,Yes,No,(640) 572-3104,badge.1809@nypd.gov,8277,1,On Leave
OFF-5631,PoliceOfficer,OFF-5631,Officer Maria Miller,Maria,Miller,5631,Officer,State Highway Patrol Police Department,Municipal,Precinct 5,District 8,Raleigh,NC,6/01/1991,24,7/01/1991,Rotating,Special Investigations,82,16,35,7,0,Crisis Intervention|Accident Reconstruction,Yes,Yes,(257) 473-8169,badge.5631@ncpd.gov,8327,1,Active
OFF-6289,PoliceOfficer,OFF-6289,Officer Michael Moore,Michael,Moore,6289,Officer,Metropolitan Police Department,State Highway Patrol,Precinct 18,District 7,Richmond,VA,8/01/1994,21,2/01/1994,Night (11PM-7AM),Detective Bureau,95,32,63,11,2,Traffic Investigation|EVOC (Emergency Driving)|Accident Reconstruction,No,Yes,(391) 547-8259,badge.6289@vapd.gov,3505,1,Active
OFF-2133,PoliceOfficer,OFF-2133,Officer Sandra Anderson,Sandra,Anderson,2133,Detective,Metropolitan Police Department,Municipal,Precinct 15,District 2,Columbia,SC,11/01/2000,15,9/01/2000,Night (11PM-7AM),Detective Bureau,220,61,29,0,0,DUI Enforcement|EVOC (Emergency Driving),No,No,(470) 708-8899,badge.2133@scpd.gov,9842,1,On Leave
OFF-4615,PoliceOfficer,OFF-4615,Officer John White,John,White,4615,Senior Officer,State Highway Patrol Police Department,County Sheriff,Precinct 16,District 3,Albany,NY,2/01/2014,1,10/01/2014,Night (11PM-7AM),Patrol,311,51,24,2,2,Traffic Investigation|Evidence Collection,No,No,(978) 707-3984,badge.4615@nypd.gov,4973,1,Active
OFF-7644,PoliceOfficer,OFF-7644,Officer John Williams,John,Williams,7644,Detective,County Sheriff Police Department,County Sheriff,Precinct 7,District 3,Charleston,WV,5/01/2012,3,9/01/2012,Rotating,Patrol,207,55,2,1,1,Accident Reconstruction|EVOC (Emergency Driving)|Traffic Investigation|Evidence Collection,No,Yes,(820) 220-6046,badge.7644@wvpd.gov,5891,1,Active
OFF-1508,PoliceOfficer,OFF-1508,Officer David Thompson,David,Thompson,1508,Officer,County Sheriff Police Department,Municipal,Precinct 11,District 7,Charleston,WV,9/01/2009,6,2/01/2009,Evening (3PM-11PM),Special Investigations,372,63,3,10,1,Evidence Collection|DUI Enforcement|Crisis Intervention|EVOC (Emergency Driving),No,Yes,(850) 980-3082,badge.1508@wvpd.gov,2588,1,Active
OFF-3937,PoliceOfficer,OFF-3937,Officer James Thomas,James,Thomas,3937,Detective,Municipal Police Department,Municipal,Precinct 3,District 3,Columbia,SC,2/01/1990,25,5/01/1990,Night (11PM-7AM),Traffic,261,86,5,7,2,Accident Reconstruction|Crisis Intervention|EVOC (Emergency Driving),No,No,(724) 344-9967,badge.3937@scpd.gov,6811,1,Active
OFF-5171,PoliceOfficer,OFF-5171,Officer Linda Anderson,Linda,Anderson,5171,Officer,Metropolitan Police Department,State Highway Patrol,Precinct 9,District 8,Columbia,SC,4/01/1990,25,5/01/1990,Rotating,Detective Bureau,193,56,6,1,2,Accident Reconstruction|EVOC (Emergency Driving),Yes,No,(990) 926-3326,badge.5171@scpd.gov,2896,1,Active
OFF-9523,PoliceOfficer,OFF-9523,Officer Karen Martin,Karen,Martin,9523,Officer,State Highway Patrol Police Department,Municipal,Precinct 8,District 7,Richmond,VA,9/01/1996,19,6/01/1996,Day (7AM-3PM),Traffic,64,31,31,6,1,Crisis Intervention|DUI Enforcement|Evidence Collection,Yes,Yes,(702) 364-8067,badge.9523@vapd.gov,8028,1,Active
OFF-6565,PoliceOfficer,OFF-6565,Officer David Anderson,David,Anderson,6565,Detective,County Sheriff Police Department,Transit,Precinct 3,District 8,Albany,NY,1/01/2009,6,5/01/2009,Rotating,Detective Bureau,254,99,76,7,2,Crisis Intervention,No,No,(486) 952-2521,badge.6565@nypd.gov,7768,1,Active
OFF-4110,PoliceOfficer,OFF-4110,Officer David Garcia,David,Garcia,4110,Officer,County Sheriff Police Department,Transit,Precinct 9,District 1,Charleston,WV,1/01/2012,3,5/01/2012,Evening (3PM-11PM),Traffic,210,78,57,3,2,Evidence Collection|Crisis Intervention|Traffic Investigation|DUI Enforcement,No,No,(391) 824-4287,badge.4110@wvpd.gov,3087,1,On Leave
OFF-7714,PoliceOfficer,OFF-7714,Officer William Johnson,William,Johnson,7714,Officer,County Sheriff Police Department,State Highway Patrol,Precinct 19,District 1,Columbia,SC,7/01/1995,20,6/01/1995,Night (11PM-7AM),Detective Bureau,399,125,65,0,0,Traffic Investigation|EVOC (Emergency Driving),Yes,No,(522) 874-1552,badge.7714@scpd.gov,4365,1,Active
OFF-4856,PoliceOfficer,OFF-4856,Officer William Moore,William,Moore,4856,Officer,State Highway Patrol Police Department,Transit,Precinct 9,District 4,Albany,NY,7/01/2013,2,7/01/2013,Night (11PM-7AM),Detective Bureau,276,103,74,1,1,DUI Enforcement|Accident Reconstruction,No,No,(395) 965-9970,badge.4856@nypd.gov,7513,1,Active
OFF-5091,PoliceOfficer,OFF-5091,Officer Karen Brown,Karen,Brown,5091,Sergeant,County Sheriff Police Department,Municipal,Precinct 15,District 4,Columbia,SC,12/01/1997,18,4/01/1997,Rotating,Special Investigations,42,94,65,10,0,Evidence Collection,No,No,(916) 498-4132,badge.5091@scpd.gov,6289,1,Active
OFF-5566,PoliceOfficer,OFF-5566,Officer Karen Harris,Karen,Harris,5566,Detective,Municipal Police Department,Municipal,Precinct 20,District 4,Richmond,VA,9/01/1991,24,8/01/1991,Day (7AM-3PM),K9,35,34,71,10,0,Evidence Collection,Yes,Yes,(845) 296-7117,badge.5566@vapd.gov,1148,1,Active
OFF-8520,PoliceOfficer,OFF-8520,Officer David Miller,David,Miller,8520,Officer,County Sheriff Police Department,Transit,Precinct 20,District 5,Columbia,SC,6/01/2014,1,2/01/2014,Night (11PM-7AM),Special Investigations,33,77,20,9,2,EVOC (Emergency Driving)|Traffic Investigation,Yes,Yes,(798) 401-5221,badge.8520@scpd.gov,1643,1,Retired
OFF-7693,PoliceOfficer,OFF-7693,Officer David Thompson,David,Thompson,7693,Officer,County Sheriff Police Department,County Sheriff,Precinct 1,District 4,Columbia,SC,10/01/1996,19,11/01/1996,Night (11PM-7AM),Detective Bureau,165,118,49,10,2,EVOC (Emergency Driving),No,Yes,(777) 988-7969,badge.7693@scpd.gov,7252,1,Active
OFF-4693,PoliceOfficer,OFF-4693,Officer Patricia Robinson,Patricia,Robinson,4693,Senior Officer,County Sheriff Police Department,County Sheriff,Precinct 10,District 4,Albany,NY,5/01/1993,22,7/01/1993,Night (11PM-7AM),Detective Bureau,155,32,32,2,2,Accident Reconstruction|Evidence Collection,Yes,No,(374) 720-5628,badge.4693@nypd.gov,1558,1,Active
OFF-5901,PoliceOfficer,OFF-5901,Officer David Johnson,David,Johnson,5901,Lieutenant,Metropolitan Police Department,Transit,Precinct 13,District 6,Raleigh,NC,2/01/1988,27,1/01/1988,Rotating,Special Investigations,386,108,3,10,0,EVOC (Emergency Driving)|Crisis Intervention|Accident Reconstruction|Traffic Investigation,No,No,(871) 202-7911,badge.5901@ncpd.gov,2264,1,On Leave
OFF-9419,PoliceOfficer,OFF-9419,Officer Linda Davis,Linda,Davis,9419,Lieutenant,Municipal Police Department,Municipal,Precinct 5,District 3,Columbia,SC,8/01/1992,23,1/01/1992,Night (11PM-7AM),Special Investigations,91,9,78,9,1,Crisis Intervention|Evidence Collection|Traffic Investigation,Yes,Yes,(593) 882-5904,badge.9419@scpd.gov,7145,1,Active
OFF-6456,PoliceOfficer,OFF-6456,Officer Patricia Moore,Patricia,Moore,6456,Sergeant,Municipal Police Department,State Highway Patrol,Precinct 19,District 1,Columbia,SC,12/01/2000,15,6/01/2000,Night (11PM-7AM),K9,298,68,6,4,2,Crisis Intervention|Accident Reconstruction,No,Yes,(817) 914-4139,badge.6456@scpd.gov,7672,1,Active
OFF-6454,PoliceOfficer,OFF-6454,Officer Linda Jackson,Linda,Jackson,6454,Sergeant,Municipal Police Department,State Highway Patrol,Precinct 17,District 8,Charleston,WV,2/01/1995,20,10/01/1995,Rotating,Traffic,158,99,41,3,0,Crisis Intervention|EVOC (Emergency Driving),Yes,Yes,(640) 581-1215,badge.6454@wvpd.gov,4415,1,Active
OFF-4419,PoliceOfficer,OFF-4419,Officer William Garcia,William,Garcia,4419,Detective,County Sheriff Police Department,Municipal,Precinct 4,District 6,Columbia,SC,2/01/2007,8,11/01/2007,Day (7AM-3PM),Special Investigations,224,108,59,7,1,Accident Reconstruction|Evidence Collection,No,Yes,(635) 640-3635,badge.4419@scpd.gov,8563,1,Active
OFF-6560,PoliceOfficer,OFF-6560,Officer Maria Martinez,Maria,Martinez,6560,Sergeant,Metropolitan Police Department,Transit,Precinct 1,District 3,Richmond,VA,6/01/2005,10,9/01/2005,Day (7AM-3PM),K9,305,89,53,4,0,Crisis Intervention|Traffic Investigation|EVOC (Emergency Driving)|DUI Enforcement,No,No,(940) 697-8291,badge.6560@vapd.gov,1816,1,On Leave
OFF-8601,PoliceOfficer,OFF-8601,Officer James Wilson,James,Wilson,8601,Officer,State Highway Patrol Police Department,State Highway Patrol,Precinct 6,District 7,Charleston,WV,12/01/2014,1,1/01/2014,Rotating,Detective Bureau,92,132,80,3,1,Evidence Collection,No,Yes,(813) 494-4254,badge.8601@wvpd.gov,1660,1,Active
OFF-4801,PoliceOfficer,OFF-4801,Officer Karen Wilson,Karen,Wilson,4801,Officer,Metropolitan Police Department,State Highway Patrol,Precinct 1,District 7,Albany,NY,12/01/2013,2,11/01/2013,Day (7AM-3PM),Traffic,201,56,29,0,0,Evidence Collection|Crisis Intervention,Yes,No,(344) 417-8086,badge.4801@nypd.gov,8282,1,Active
OFF-3702,PoliceOfficer,OFF-3702,Officer Michael Taylor,Michael,Taylor,3702,Officer,Metropolitan Police Department,State Highway Patrol,Precinct 18,District 7,Albany,NY,10/01/2001,14,5/01/2001,Evening (3PM-11PM),Special Investigations,129,33,70,1,1,EVOC (Emergency Driving),Yes,Yes,(268) 855-7980,badge.3702@nypd.gov,2835,1,Active
OFF-5460,PoliceOfficer,OFF-5460,Officer David Harris,David,Harris,5460,Senior Officer,State Highway Patrol Police Department,Transit,Precinct 4,District 6,Columbia,SC,11/01/1991,24,3/01/1991,Rotating,K9,319,54,43,0,2,Accident Reconstruction|DUI Enforcement|Crisis Intervention|EVOC (Emergency Driving),No,Yes,(231) 835-8625,badge.5460@scpd.gov,1564,1,Active
OFF-9610,PoliceOfficer,OFF-9610,Officer Sandra Robinson,Sandra,Robinson,9610,Sergeant,Metropolitan Police Department,Municipal,Precinct 19,District 3,Raleigh,NC,3/01/1988,27,12/01/1988,Night (11PM-7AM),K9,105,17,51,6,2,Traffic Investigation|DUI Enforcement|Accident Reconstruction|EVOC (Emergency Driving),No,No,(741) 494-2945,badge.9610@ncpd.gov,2406,1,Active
OFF-2804,PoliceOfficer,OFF-2804,Officer Linda Thomas,Linda,Thomas,2804,Detective,Municipal Police Department,Municipal,Precinct 16,District 1,Richmond,VA,5/01/1991,24,1/01/1991,Night (11PM-7AM),Special Investigations,178,98,59,7,1,EVOC (Emergency Driving)|DUI Enforcement,No,No,(676) 970-3238,badge.2804@vapd.gov,1933,1,Active
OFF-9740,PoliceOfficer,OFF-9740,Officer Sandra Taylor,Sandra,Taylor,9740,Officer,Metropolitan Police Department,Transit,Precinct 19,District 2,Albany,NY,5/01/1993,22,9/01/1993,Evening (3PM-11PM),Traffic,198,100,33,3,2,Evidence Collection,No,No,(512) 434-9449,badge.9740@nypd.gov,3440,1,Active
OFF-1085,PoliceOfficer,OFF-1085,Officer Robert Harris,Robert,Harris,1085,Sergeant,County Sheriff Police Department,County Sheriff,Precinct 7,District 4,Albany,NY,7/01/1987,28,4/01/1987,Evening (3PM-11PM),Detective Bureau,335,137,20,12,1,Accident Reconstruction,No,No,(939) 420-1868,badge.1085@nypd.gov,6917,1,Active
OFF-3257,PoliceOfficer,OFF-3257,Officer Maria Taylor,Maria,Taylor,3257,Officer,State Highway Patrol Police Department,State Highway Patrol,Precinct 16,District 4,Albany,NY,6/01/2011,4,7/01/2011,Night (11PM-7AM),Traffic,139,52,43,0,1,Accident Reconstruction|Evidence Collection,No,Yes,(937) 916-9101,badge.3257@nypd.gov,1921,1,Active
OFF-7977,PoliceOfficer,OFF-7977,Officer Linda Williams,Linda,Williams,7977,Lieutenant,Metropolitan Police Department,State Highway Patrol,Precinct 4,District 4,Columbia,SC,1/01/1993,22,12/01/1993,Rotating,Patrol,23,83,29,10,2,Crisis Intervention|Traffic Investigation|DUI Enforcement|Accident Reconstruction,No,Yes,(968) 311-6259,badge.7977@scpd.gov,2041,1,Active
OFF-9208,PoliceOfficer,OFF-9208,Officer Patricia Taylor,Patricia,Taylor,9208,Senior Officer,State Highway Patrol Police Department,State Highway Patrol,Precinct 12,District 7,Richmond,VA,3/01/2010,5,7/01/2010,Rotating,Patrol,394,122,11,10,0,EVOC (Emergency Driving)|DUI Enforcement,Yes,Yes,(706) 603-5942,badge.9208@vapd.gov,3614,1,Active
OFF-9858,PoliceOfficer,OFF-9858,Officer Maria Moore,Maria,Moore,9858,Senior Officer,County Sheriff Police Department,State Highway Patrol,Precinct 6,District 3,Charleston,WV,2/01/1998,17,3/01/1998,Night (11PM-7AM),Patrol,120,41,50,4,1,DUI Enforcement|Crisis Intervention|Accident Reconstruction,Yes,Yes,(264) 928-8884,badge.9858@wvpd.gov,7537,1,Active
OFF-5255,PoliceOfficer,OFF-5255,Officer James Miller,James,Miller,5255,Officer,Municipal Police Department,Municipal,Precinct 12,District 5,Albany,NY,10/01/1997,18,3/01/1997,Evening (3PM-11PM),K9,312,98,12,12,1,EVOC (Emergency Driving)|Crisis Intervention,Yes,No,(892) 894-9369,badge.5255@nypd.gov,4283,1,Active
OFF-4009,PoliceOfficer,OFF-4009,Officer John Martin,John,Martin,4009,Detective,State Highway Patrol Police Department,State Highway Patrol,Precinct 17,District 7,Charleston,WV,12/01/1990,25,5/01/1990,Rotating,Detective Bureau,63,51,26,12,1,Accident Reconstruction|Evidence Collection|Crisis Intervention,No,No,(894) 582-1983,badge.4009@wvpd.gov,7581,1,Active
OFF-7021,PoliceOfficer,OFF-7021,Officer Barbara Moore,Barbara,Moore,7021,Officer,County Sheriff Police Department,Municipal,Precinct 9,District 3,Philadelphia,PA,5/01/2009,6,8/01/2009,Evening (3PM-11PM),Traffic,208,56,64,5,2,Evidence Collection|Accident Reconstruction,Yes,No,(359) 261-3600,badge.7021@papd.gov,6371,1,Active
