:ID,:LABEL,transaction_id,transaction_type,linked_claim_id,linked_policy_number,amount_usd,payment_account_id,payment_routing_hash,payment_method,transaction_date,bank_name,routing_number_hash,account_type,transaction_status,fraud_flag,velocity_flag,round_amount_flag,payee_name,payee_entity_id,payment_channel,is_shared_account_flag,counterparty_entity_type,days_to_payment,suspicious_timing_flag
TXN-000036,FinancialTransaction,TXN-000036,Claim Payment,CLM-431876,431876,37840.0,PAY-805CA1417C,f256abd01f6407e0,Credit Card,16/8/2015,Chase,ba3a89947410,Savings,Cleared,No,No,No,Medical Provider,CLM-431876,Wire,No,Lawyer,12,No
TXN-000037,FinancialTransaction,TXN-000037,Premium Payment,,431876,3447.25,PAY-805CA1417C,f256abd01f6407e0,Credit Card,25/6/2015,Wells Fargo,7434dae96e2d,Checking,Cleared,No,No,No,Insurance Carrier,,Check,No,Lawyer,11,No
TXN-000038,FinancialTransaction,TXN-000038,Premium Payment,,285496,6044.31,PAY-DA9A663DB1,843de98714a4ac14,ACH,26/3/2015,Wells Fargo,92926ed5df40,Checking,Cleared,No,No,No,Insurance Carrier,,Venmo,No,Customer,44,No
TXN-000039,FinancialTransaction,TXN-000039,Premium Payment,,115399,8373.58,PAY-88BD9DEBFA,18699c29e7e835ae,ACH,11/10/2015,Wells Fargo,c8689a068db1,Savings,Cleared,No,No,No,Insurance Carrier,,Zelle,No,Lawyer,19,No
TXN-000040,FinancialTransaction,TXN-000040,Claim Payment,CLM-736882,736882,77880.0,PAY-765254AEE9,f8c0d757b5aa112e,Check,,BOA,02a77bbf1561,Checking,Flagged,No,No,No,Repair Shop,CLM-736882,Venmo,No,RepairShop,40,No
TXN-000041,FinancialTransaction,TXN-000041,Premium Payment,,736882,6730.09,PAY-765254AEE9,f8c0d757b5aa112e,Check,19/10/2015,Citibank,41c26e04e373,Checking,Cleared,No,No,No,Insurance Carrier,,Wire,No,Unknown,43,No
TXN-000042,FinancialTransaction,TXN-000042,Premium Payment,,699044,6726.89,PAY-BDEA7E4921,fa18b7b291e0ebca,ACH,1/11/2015,Wells Fargo,faee947e0d6f,Checking,Cleared,No,No,No,Insurance Carrier,,ACH,No,RepairShop,45,No
TXN-000043,FinancialTransaction,TXN-000043,Premium Payment,,863236,768.12,PAY-F3D03B4945,cff7812907845b95,ACH,24/11/2015,BOA,f12d59e4125c,Checking,Cleared,No,No,No,Insurance Carrier,,Zelle,No,RepairShop,45,No
TXN-000044,FinancialTransaction,TXN-000044,Premium Payment,,608513,464.9,PAY-0EE217D4AE,a05ff133efb7ec31,ACH,16/11/2015,Citibank,bfc2a66f8c42,Savings,Cleared,No,No,No,Insurance Carrier,,ACH,No,Lawyer,39,No
TXN-000045,FinancialTransaction,TXN-000045,Premium Payment,,914088,5980.08,PAY-2757E8BF5F,07da3bda77e5c6d0,ACH,22/6/2015,BOA,6042d57d1940,Savings,Cleared,No,No,No,Insurance Carrier,,Check,No,Unknown,37,No
TXN-000046,FinancialTransaction,TXN-000046,Claim Payment,CLM-596785,596785,91650.0,PAY-D97F4B9E64,4eeb3ef97820e76d,ACH,,Citibank,0ffafb6624c7,Savings,Pending,No,No,No,Repair Shop,CLM-596785,Unknown,No,Hospital,51,No
TXN-000047,FinancialTransaction,TXN-000047,Premium Payment,,596785,7705.73,PAY-D97F4B9E64,4eeb3ef97820e76d,Check,25/3/2015,Chase,1cc97177cfee,Checking,Cleared,No,No,No,Insurance Carrier,,ACH,No,RepairShop,36,No
TXN-000048,FinancialTransaction,TXN-000048,Claim Payment,CLM-908616,908616,75600.0,PAY-792E6F5BA5,ab4c644eb6ae4d3e,Check,26/8/2015,Chase,fd69998a3631,Checking,Cleared,No,No,Yes,Lienholder,CLM-908616,Venmo,No,Hospital,12,No
TXN-000049,FinancialTransaction,TXN-000049,Premium Payment,,908616,6755.36,PAY-792E6F5BA5,ab4c644eb6ae4d3e,Credit Card,8/7/2015,BOA,fe370b478244,Checking,Cleared,No,No,No,Insurance Carrier,,Unknown,No,Hospital,30,No
TXN-000050,FinancialTransaction,TXN-000050,Premium Payment,,666333,5478.71,PAY-04A4AA65F0,870580a22e315ad6,ACH,9/8/2015,Chase,2a0e0c68bae7,Checking,Cleared,No,No,No,Insurance Carrier,,Wire,No,Customer,48,No
TXN-000051,FinancialTransaction,TXN-000051,Premium Payment,,336614,3069.05,PAY-E9866826DB,41f3f8f76ed5c472,ACH,7/4/2015,Wells Fargo,4b0a7208696b,Checking,Cleared,No,No,No,Insurance Carrier,,ACH,No,Unknown,38,No
TXN-000052,FinancialTransaction,TXN-000052,Premium Payment,,584859,7165.95,PAY-8AB59A24A8,cbf242e3c342dfed,Credit Card,12/6/2015,Wells Fargo,e0ab8f921acf,Savings,Pending,No,No,No,Insurance Carrier,,Wire,No,Unknown,24,No
TXN-000053,FinancialTransaction,TXN-000053,Claim Payment,CLM-990493,990493,64800.0,PAY-9E5448DDF1,ca443019ec6d6b5a,Direct Deposit,21/9/2015,Wells Fargo,5c4e9591e27c,Checking,Flagged,No,No,Yes,Lienholder,CLM-990493,Unknown,No,RepairShop,60,No
TXN-000054,FinancialTransaction,TXN-000054,Premium Payment,,990493,5643.75,PAY-9E5448DDF1,ca443019ec6d6b5a,Credit Card,26/11/2015,Wells Fargo,ea8fba771321,Checking,Cleared,No,No,No,Insurance Carrier,,Zelle,No,Customer,3,No
TXN-000055,FinancialTransaction,TXN-000055,Premium Payment,,129872,5464.3,PAY-D2585B3E6C,84db0769697053c5,Check,20/10/2015,Chase,f65e26ba2997,Checking,Cleared,No,No,No,Insurance Carrier,,Zelle,No,Customer,6,No
TXN-000056,FinancialTransaction,TXN-000056,Claim Payment,CLM-200152,200152,60200.0,PAY-D15FCC84AB,995d6cb6b7daaaaf,Credit Card,7/4/2015,Wells Fargo,2c369e38e272,Savings,Cleared,No,Yes,Yes,Lienholder,CLM-200152,Venmo,No,Customer,50,No
TXN-000057,FinancialTransaction,TXN-000057,Premium Payment,,200152,5310.96,PAY-D15FCC84AB,995d6cb6b7daaaaf,Check,14/9/2015,BOA,f34a7e3c4bed,Checking,Cleared,No,No,No,Insurance Carrier,,Venmo,No,Unknown,20,No
TXN-000058,FinancialTransaction,TXN-000058,Premium Payment,,933293,487.92,PAY-CCC4184D4B,e22bb1c8a91ed193,ACH,12/1/2015,Citibank,fe2be85a254f,Checking,Cleared,No,No,No,Insurance Carrier,,Venmo,No,Unknown,21,No
TXN-000059,FinancialTransaction,TXN-000059,Claim Payment,CLM-485664,485664,62300.0,PAY-2AD83F3066,bc8c9407c49c05ea,Wire Transfer,,Chase,9ca8c2a4ec83,Checking,Cleared,No,No,Yes,Lienholder,CLM-485664,Wire,No,Lawyer,24,No
TXN-000060,FinancialTransaction,TXN-000060,Premium Payment,,485664,5384.15,PAY-2AD83F3066,bc8c9407c49c05ea,ACH,13/2/2015,BOA,01856277aad0,Checking,Cleared,No,No,No,Insurance Carrier,,Check,No,Unknown,58,No
TXN-000061,FinancialTransaction,TXN-000061,Claim Payment,CLM-982871,982871,60170.0,PAY-6B76803FC4,03e5cd1b2f369d32,Credit Card,,Chase,22cf596439ce,Checking,Cleared,No,Yes,No,Attorney,CLM-982871,Check,No,Unknown,25,No
TXN-000062,FinancialTransaction,TXN-000062,Premium Payment,,982871,5919.17,PAY-6B76803FC4,03e5cd1b2f369d32,ACH,11/1/2015,Wells Fargo,9b30fc7ec226,Savings,Cleared,No,No,No,Insurance Carrier,,Check,No,Customer,53,No
TXN-000063,FinancialTransaction,TXN-000063,Claim Payment,CLM-206213,206213,40000.0,PAY-002DE97F80,ef6e810b2b65b4da,Wire Transfer,17/1/2015,Citibank,15a9c7313a65,Savings,Cleared,No,No,Yes,Lienholder,CLM-206213,Zelle,No,Hospital,5,No
TXN-000064,FinancialTransaction,TXN-000064,Premium Payment,,206213,3345.41,PAY-002DE97F80,ef6e810b2b65b4da,Credit Card,18/6/2015,Chase,b40348741510,Checking,Cleared,No,No,No,Insurance Carrier,,Zelle,No,RepairShop,49,No
TXN-000065,FinancialTransaction,TXN-000065,Premium Payment,,616337,9920.05,PAY-E2C6CAB847,be068bf6398182aa,Check,5/12/2015,Citibank,fcafb1165ba1,Checking,Cleared,No,No,No,Insurance Carrier,,Check,No,Hospital,28,No
TXN-000066,FinancialTransaction,TXN-000066,Premium Payment,,448961,5352.25,PAY-2A24337D6B,8d2173107be40eca,ACH,24/6/2015,Chase,064c8a40e7c0,Savings,Cleared,No,No,No,Insurance Carrier,,Unknown,No,RepairShop,54,No
TXN-000067,FinancialTransaction,TXN-000067,Premium Payment,,790442,4706.33,PAY-4A96563811,9d42fddab79b9808,ACH,1/8/2015,BOA,7d854edb4d4d,Checking,Cleared,No,No,No,Insurance Carrier,,Venmo,No,Lawyer,36,No
TXN-000068,FinancialTransaction,TXN-000068,Premium Payment,,108844,4782.14,PAY-7FF09DABDA,30868e329f0e7d77,Check,19/9/2015,Citibank,668292631c2e,Checking,Cleared,No,No,No,Insurance Carrier,,ACH,No,Unknown,5,No
TXN-000069,FinancialTransaction,TXN-000069,Premium Payment,,430029,5189.36,PAY-72AADDEB47,fd94367a9dcc43a8,Check,16/7/2015,Citibank,a78c90b20352,Checking,Pending,No,No,No,Insurance Carrier,,Unknown,No,RepairShop,19,No
TXN-000070,FinancialTransaction,TXN-000070,Premium Payment,,529112,6489.11,PAY-BDA4247FB8,6038fff24e15a208,ACH,25/12/2015,Citibank,4f72fccd8bb2,Checking,Cleared,No,No,No,Insurance Carrier,,Unknown,No,RepairShop,31,No
TXN-000071,FinancialTransaction,TXN-000071,Premium Payment,,939631,5268.96,PAY-DC8E106ABD,c89a76d48e73e78a,ACH,10/6/2015,Chase,ff816eae5166,Savings,Cleared,No,No,No,Insurance Carrier,,Check,No,RepairShop,9,No
TXN-000072,FinancialTransaction,TXN-000072,Claim Payment,CLM-866931,866931,7290.0,PAY-A42325F834,f6cbcf5507728562,Direct Deposit,17/10/2015,BOA,cacd48287425,Savings,Cleared,No,No,No,Medical Provider,CLM-866931,ACH,No,RepairShop,8,No
TXN-000073,FinancialTransaction,TXN-000073,Premium Payment,,866931,689.0,PAY-A42325F834,f6cbcf5507728562,ACH,2/1/2015,BOA,587471b1fb0a,Savings,Cleared,No,No,No,Insurance Carrier,,Check,No,Unknown,45,No
TXN-000074,FinancialTransaction,TXN-000074,Claim Payment,CLM-582011,582011,76600.0,PAY-237D9A8785,8d172fa459b106e0,Direct Deposit,,BOA,5949aa04f709,Checking,Cleared,No,No,Yes,Medical Provider,CLM-582011,ACH,No,Hospital,56,No
TXN-000075,FinancialTransaction,TXN-000075,Premium Payment,,582011,6335.36,PAY-237D9A8785,8d172fa459b106e0,Check,22/9/2015,Wells Fargo,ad5e4aff0951,Savings,Cleared,No,No,No,Insurance Carrier,,Venmo,No,RepairShop,18,No
TXN-000076,FinancialTransaction,TXN-000076,Claim Payment,CLM-691189,691189,81800.0,PAY-6A74257A89,5237634188f728fe,Wire Transfer,,Wells Fargo,bd4ed56b4159,Checking,Cleared,No,No,Yes,Lienholder,CLM-691189,Unknown,No,Customer,22,No
TXN-000077,FinancialTransaction,TXN-000077,Premium Payment,,691189,7476.99,PAY-6A74257A89,5237634188f728fe,ACH,7/8/2015,Citibank,8eb0102cf816,Checking,Pending,No,No,No,Insurance Carrier,,Zelle,No,RepairShop,34,No
TXN-000078,FinancialTransaction,TXN-000078,Premium Payment,,537546,651.42,PAY-58E4A154DE,c0e7f95722bc9a02,ACH,4/11/2015,Chase,e0536cd62df2,Savings,Cleared,No,No,No,Insurance Carrier,,Check,No,Unknown,27,No
TXN-000079,FinancialTransaction,TXN-000079,Premium Payment,,394975,381.23,PAY-3AB219CE2C,7fa899365edf51a1,ACH,11/8/2015,Citibank,a5579fc030c4,Checking,Cleared,No,No,No,Insurance Carrier,,Check,No,Customer,34,No
TXN-000080,FinancialTransaction,TXN-000080,Claim Payment,CLM-729634,729634,70510.0,PAY-14DA056130,2014889c497b9bac,ACH,27/9/2015,Wells Fargo,892e0764619a,Checking,Cleared,No,No,No,Lienholder,CLM-729634,Unknown,No,Unknown,14,No
TXN-000081,FinancialTransaction,TXN-000081,Premium Payment,,729634,5825.85,PAY-14DA056130,2014889c497b9bac,ACH,20/8/2015,Citibank,e5c015d0d103,Checking,Cleared,No,No,No,Insurance Carrier,,Unknown,No,Lawyer,45,No
TXN-000082,FinancialTransaction,TXN-000082,Premium Payment,,282195,227.15,PAY-6F33D1234C,0986100af747d782,ACH,5/8/2015,BOA,cfe310926e2d,Savings,Cleared,No,No,No,Insurance Carrier,,Venmo,No,Unknown,14,No
TXN-000083,FinancialTransaction,TXN-000083,Claim Payment,CLM-420810,420810,78900.0,PAY-14B3BE2BC1,51bc48745bf8ef86,Wire Transfer,13/1/2015,Citibank,df3c9e53dfcb,Checking,Cleared,No,No,Yes,Medical Provider,CLM-420810,Wire,No,Customer,40,No
TXN-000084,FinancialTransaction,TXN-000084,Premium Payment,,420810,7278.77,PAY-14B3BE2BC1,51bc48745bf8ef86,ACH,17/8/2015,Wells Fargo,54f83e75d5f1,Checking,Cleared,No,No,No,Insurance Carrier,,Check,Yes,Hospital,4,No
TXN-000085,FinancialTransaction,TXN-000085,Premium Payment,,524836,4536.83,PAY-61579CD778,b8929649bf0aa9b3,ACH,2/1/2015,BOA,e8f8f10668f8,Checking,Pending,No,No,No,Insurance Carrier,,ACH,No,Customer,7,No
TXN-000086,FinancialTransaction,TXN-000086,Claim Payment,CLM-307195,307195,2400.0,PAY-B65B35AD71,59e17f3523d4aeae,Credit Card,27/9/2015,Wells Fargo,006e065b654c,Checking,Cleared,No,No,Yes,Lienholder,CLM-307195,Venmo,No,Hospital,37,No
TXN-000087,FinancialTransaction,TXN-000087,Premium Payment,,307195,197.52,PAY-B65B35AD71,59e17f3523d4aeae,Credit Card,13/4/2015,Citibank,de9d3d0ee3ca,Checking,Cleared,No,No,No,Insurance Carrier,,Unknown,No,Customer,47,No
TXN-000088,FinancialTransaction,TXN-000088,Claim Payment,CLM-623648,623648,65790.0,PAY-052142E4CB,87a25b0f0cc562cf,Wire Transfer,,Chase,d4e8617bc77d,Checking,Cleared,No,No,No,Attorney,CLM-623648,Wire,No,RepairShop,41,No
TXN-000089,FinancialTransaction,TXN-000089,Premium Payment,,623648,5885.23,PAY-052142E4CB,87a25b0f0cc562cf,ACH,18/8/2015,BOA,e87552e0d113,Savings,Cleared,No,No,No,Insurance Carrier,,Check,No,Unknown,34,No
TXN-000090,FinancialTransaction,TXN-000090,Premium Payment,,485372,6124.4,PAY-F94A5CD2C5,1cbb8aae0033db3d,Check,4/9/2015,BOA,50991aea02a8,Savings,Cleared,No,No,No,Insurance Carrier,,Check,No,Lawyer,6,No
TXN-000091,FinancialTransaction,TXN-000091,Premium Payment,,598554,5699.74,PAY-3B3A883543,12c249ac3ae48583,ACH,26/1/2015,Citibank,6f3656986522,Savings,Cleared,No,No,No,Insurance Carrier,,Unknown,Yes,Hospital,31,No
TXN-000092,FinancialTransaction,TXN-000092,Claim Payment,CLM-303987,303987,44280.0,PAY-B461D28811,8001794c3783f56a,Check,8/3/2015,Citibank,caec5c32a6e0,Checking,Cleared,No,No,No,Lienholder,CLM-303987,Unknown,No,Hospital,47,No
TXN-000093,FinancialTransaction,TXN-000093,Premium Payment,,303987,4304.83,PAY-B461D28811,8001794c3783f56a,ACH,4/2/2015,Citibank,b98c992f22aa,Checking,Cleared,No,No,No,Insurance Carrier,,Unknown,No,RepairShop,45,No
TXN-000094,FinancialTransaction,TXN-000094,Claim Payment,CLM-343161,343161,56300.0,PAY-E85E8B2D41,0942b5219014ec29,ACH,24/11/2015,BOA,65ddb312efa8,Checking,Flagged,No,No,Yes,Repair Shop,CLM-343161,Zelle,No,RepairShop,39,No
TXN-000095,FinancialTransaction,TXN-000095,Premium Payment,,343161,4883.53,PAY-E85E8B2D41,0942b5219014ec29,ACH,1/2/2015,Chase,1b125e888a6d,Checking,Pending,No,No,No,Insurance Carrier,,Wire,No,Customer,60,No
TXN-000096,FinancialTransaction,TXN-000096,Premium Payment,,519312,5838.54,PAY-B9268F240B,e9c28400c917e311,ACH,10/5/2015,Wells Fargo,f113ca55f005,Checking,Cleared,No,No,No,Insurance Carrier,,Venmo,No,Hospital,51,No
TXN-000097,FinancialTransaction,TXN-000097,Claim Payment,CLM-132902,132902,59130.0,PAY-35384913BA,34dd74437df8cce7,Credit Card,,Citibank,0f3cd5cc962b,Checking,Cleared,No,No,No,Repair Shop,CLM-132902,Unknown,No,Unknown,46,No
TXN-000098,FinancialTransaction,TXN-000098,Premium Payment,,132902,5451.62,PAY-35384913BA,34dd74437df8cce7,ACH,20/11/2015,Citibank,19a144cc4dc2,Savings,Cleared,No,No,No,Insurance Carrier,,ACH,No,Customer,19,No
TXN-000099,FinancialTransaction,TXN-000099,Claim Payment,CLM-332867,332867,82320.0,PAY-031970E481,564eef11baedc7b7,Credit Card,12/10/2015,Wells Fargo,834274360e22,Savings,Cleared,No,Yes,No,Medical Provider,CLM-332867,Check,No,RepairShop,28,No
TXN-000100,FinancialTransaction,TXN-000100,Premium Payment,,332867,7237.68,PAY-031970E481,564eef11baedc7b7,Check,3/12/2015,Chase,336fa5434324,Checking,Cleared,No,No,No,Insurance Carrier,,Venmo,No,Hospital,39,No
TXN-000101,FinancialTransaction,TXN-000101,Claim Payment,CLM-356590,356590,89700.0,PAY-5D2674178F,82ff8d052148b9f3,Direct Deposit,1/11/2015,Citibank,6ed450be7c03,Checking,Cleared,No,Yes,Yes,Repair Shop,CLM-356590,Zelle,No,Lawyer,55,No
TXN-000102,FinancialTransaction,TXN-000102,Premium Payment,,356590,7395.02,PAY-5D2674178F,82ff8d052148b9f3,Credit Card,23/9/2015,Chase,d041f1fa97a4,Savings,Pending,No,No,No,Insurance Carrier,,Unknown,No,Lawyer,21,No
TXN-000103,FinancialTransaction,TXN-000103,Premium Payment,,346002,3093.54,PAY-178E58F8B8,67e3b42ade910d95,ACH,6/4/2015,Chase,cc926bb72678,Checking,Cleared,No,No,No,Insurance Carrier,,Check,Yes,Hospital,17,No
